logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.793411954150041765e+03 -1.799404668436733118e+03 7.049999999999999600e-01
-1.799404668436733118e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -1.496325308443135327e+03 -1.502320522729826735e+03 1.250000000000000000e-01
-1.502320522729826735e+03 1.111098337302012027e+02 -5.000000000000000104e-03 4.000000000000000000e+02 -1.407633093369853896e+03 -1.413630807656545130e+03 1.400000000000000133e-01
-1.413630807656545130e+03 1.060908614168112365e+02 -7.499999999999999722e-03 4.000000000000000000e+02 -1.181199880813321442e+03 -1.187200095100012732e+03 1.590000000000000080e+00
-1.187200095100012732e+03 1.853966359206106915e+02 -1.000000000000000021e-02 4.000000000000000000e+02 -1.042120168248766504e+03 -1.048122882535457848e+03 9.399999999999999467e-01
-1.048122882535457848e+03 2.123713095845731686e+02 -1.250000000000000069e-02 4.000000000000000000e+02 -1.023441153186629435e+03 -1.029446367473320834e+03 1.649999999999999911e+00
-1.029446367465578078e+03 5.646201650444708520e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -9.966519969391281393e+02 -1.002659711225819478e+03 1.000000000000000000e+00
-1.002659711225817205e+03 4.939175613882697746e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -9.288142192664098502e+02 -9.348244335531011302e+02 8.149999999999999467e-01
-9.348244335531011302e+02 4.469093911432734245e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -8.511040972002149374e+02 -8.571168114869062720e+02 5.050000000000000044e-01
-8.571168114869062720e+02 6.109376114135056213e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -7.417364927088526656e+02 -7.477517069955439410e+02 1.049999999999999961e-01
-7.477517069955439410e+02 7.519014036948080104e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -7.144864108652998311e+02 -7.205041251519911611e+02 1.534999999999999920e+00
-7.205041251519896832e+02 1.401576607223639215e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -6.890322023713407589e+02 -6.950524166580320298e+02 8.399999999999999689e-01
-6.950524166580231622e+02 1.082641034801918245e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -6.750306460700145408e+02 -6.810533603567058663e+02 1.995000000000000107e+00
-6.810533595243923628e+02 1.287426811875942789e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -5.788514039438010741e+02 -5.848766182304923404e+02 2.349999999999999867e-01
-5.848766182304923404e+02 5.374897954640749731e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -5.494192791560759588e+02 -5.554469934427672797e+02 4.299999999999999933e-01
-5.554469934427671660e+02 5.182414547426926532e+01 -3.749999999999999861e-02 4.000000000000000000e+02 -5.250077761668995890e+02 -5.310379904535908508e+02 1.560000000000000053e+00
-5.310379904535657261e+02 4.599229588338945973e+01 -4.000000000000000083e-02 4.000000000000000000e+02 -4.530887049785208092e+02 -4.591214192652121255e+02 1.899999999999999911e+00
-4.591214192652121255e+02 4.259812531115723999e+01 -4.250000000000000305e-02 4.000000000000000000e+02 -4.382924384894068908e+02 -4.443276527760982049e+02 7.499999999999999722e-02
-4.443276524001320240e+02 5.110691502408782227e+00 -4.500000000000000527e-02 4.000000000000000000e+02 -3.570040939165365899e+02 -3.630418082032279017e+02 5.300000000000000266e-01
