weight logl norm alpha beta
0.000000000000000000e+00 -1.793411954150041765e+03 8.848331899772235332e+00 3.488419627926748312e+00 1.401353204517652717e-01
0.000000000000000000e+00 -1.496325308443135327e+03 9.967579162646812208e+00 3.456317275538888900e+00 2.909613295544931089e-01
0.000000000000000000e+00 -1.407633093369853896e+03 9.550756608540188708e+00 3.472702448176177015e+00 3.247494232891379728e-01
0.000000000000000000e+00 -1.181199880813321442e+03 9.414773198481869443e+00 3.445573582914331467e+00 3.893570207838428221e-01
0.000000000000000000e+00 -1.042120168248766504e+03 7.212694393542172122e+00 3.184923912689971104e+00 8.215465141969874319e-02
0.000000000000000000e+00 -1.023441153186629435e+03 9.760301114930065580e+00 3.250985975446832210e+00 2.895204717529007987e-01
0.000000000000000000e+00 -9.966519969391281393e+02 7.159353633892705737e+00 3.363125316542670440e+00 2.681636119620850467e-01
0.000000000000000000e+00 -9.288142192664098502e+02 5.723641154829929967e+00 3.313991595731652584e+00 1.530022843869360827e-01
0.000000000000000000e+00 -8.511040972002149374e+02 9.265521378338476666e+00 3.084416327975394001e+00 1.888096331494994451e-01
2.331446376160258317e-319 -7.417364927088526656e+02 8.459805181313614142e+00 3.239073399478046511e+00 3.524146438303281670e-01
1.588904350476416592e-307 -7.144864108652998311e+02 5.882112602201004847e+00 3.317997291426345807e+00 2.733511422512652222e-01
1.797356837276306006e-296 -6.890322023713407589e+02 5.580809566272172617e+00 3.442759030549001231e+00 3.847265283249892698e-01
2.159470181655527822e-290 -6.750306460700145408e+02 8.073649652775385377e+00 3.464096064957439047e+00 5.975186791306347223e-01
1.268748683029979670e-248 -5.788514039438010741e+02 5.207085297696693260e+00 3.499583118420816596e+00 4.742289267725923185e-01
7.664772240010898435e-236 -5.494192791560759588e+02 5.179664221929881407e+00 3.153609022896919800e+00 1.508955808297018364e-01
3.056290005348427863e-225 -5.250077761668995890e+02 7.188559745819991242e+00 2.917403617089884271e+00 9.352525478772191758e-02
5.225942003766810103e-194 -4.530887049785208092e+02 8.537274789152659693e+00 3.284040232306145057e+00 6.099815953457308204e-01
1.390003002981821287e-187 -4.382924384894068908e+02 5.999826778912908054e+00 3.425366393530192344e+00 5.753553949011322999e-01
2.786182071829052481e-152 -3.570040939165365899e+02 6.493995200248652289e+00 3.301139383564826613e+00 5.644952076466595026e-01
2.925880199711843258e-146 -3.431371602258158759e+02 7.180621785965600523e+00 2.805961321120941321e+00 1.264216275809317835e-01
3.016964910381776332e-140 -3.292884936967687963e+02 9.887754028425057129e+00 3.110488426593215561e+00 6.504581701367320168e-01
8.421665210602534484e-136 -3.190490970770886747e+02 9.079132939109998190e+00 3.014632919191522209e+00 5.014260803807285560e-01
2.489089020372784734e-124 -2.926344667500775927e+02 9.697726163559577728e+00 3.077160349671065109e+00 6.528967259437680193e-01
1.228593561342210797e-122 -2.887328432832649128e+02 2.439846153292304365e+00 3.214476374718495677e+00 7.113439773547340639e-02
9.278012962243576360e-122 -2.867085659489296177e+02 7.393432070325833827e+00 1.007845420996905439e+00 3.798112297867629605e-01
3.926230519259586269e-117 -2.760531080771899610e+02 6.252093289231845930e+00 1.050410865885400558e+00 1.308955258318123538e-01
2.951677120246229208e-115 -2.717307441772486527e+02 9.728282077391460447e+00 2.734608573475300286e+00 3.208174740329078900e-01
4.370666605175129093e-111 -2.621253617907140097e+02 9.097946214685777022e+00 1.066279466252490149e+00 7.553674740206236526e-01
8.368314156351126332e-111 -2.614733248802154435e+02 5.730505673904134234e+00 3.191726732265422584e+00 4.841300962237122807e-01
4.536528581574318857e-110 -2.597805301464584886e+02 5.423932296988439816e+00 1.027959954072934501e+00 1.650994882033112177e-01
5.208954559231168071e-110 -2.596398130612101909e+02 9.183567520430710118e+00 1.222621710001368989e+00 4.618827197963805142e-01
9.355293403864336966e-110 -2.590517499138693438e+02 9.702956210629547940e+00 2.929810118950955555e+00 5.426237909833954154e-01
1.762860471005930776e-106 -2.515079141070990545e+02 8.069192469660183775e+00 2.942178368989266879e+00 4.408286416255859375e-01
2.224742638072354187e-104 -2.466675404378139262e+02 5.847098785806265298e+00 1.046556521878105217e+00 3.745314129361794753e-01
1.450523818144562840e-103 -2.447901718403770985e+02 9.987634278885700212e+00 2.957234179738730262e+00 6.199224346135291386e-01
7.925136469328700639e-103 -2.430895570457462611e+02 8.199098624301489835e+00 1.207087272601986783e+00 4.966201831698931479e-01
3.852402950327379258e-96 -2.276903038379619204e+02 7.259789466920947731e+00 1.153233074909965961e+00 5.977886395731573099e-01
8.845737688730655633e-96 -2.268565652085950717e+02 8.148082479297462655e+00 3.111284327913867997e+00 6.806984730067523470e-01
6.224671857240094033e-95 -2.249028951142485369e+02 9.490218602336012665e+00 1.439088553541282511e+00 3.708710649011840998e-01
9.114205090464811564e-95 -2.245190816461309851e+02 9.177592932830949124e+00 1.563722353026407941e+00 6.216151244141251281e-02
1.755376175968320206e-93 -2.215585624762951795e+02 5.000746530803795054e+00 2.827095214465075834e+00 8.628211959113074592e-02
2.334871116194271817e-93 -2.212707889624186350e+02 6.913466215300397621e+00 1.197642045148621825e+00 5.017174887569284536e-01
6.228322123520820789e-93 -2.202871386810670629e+02 9.564181383300326189e+00 3.141853894735690655e+00 8.550199033895399259e-01
1.095375040944651518e-92 -2.197200637547579447e+02 3.873126314513875457e+00 1.046728506064508180e+00 1.187172163662419122e-01
1.821946851464675051e-91 -2.169061698415615638e+02 8.614150919942407114e+00 2.594509925729127087e+00 1.917340701237456035e-01
3.500564801599205681e-91 -2.162506511421755420e+02 6.285051308562178640e+00 1.145233525222420168e+00 5.461854284482704491e-01
