weight logl norm alpha beta
0.000000000000000000e+00 -1.793411954150041765e+03 8.836698888658823803e-01 9.953678511706993692e-01 6.216228996673467400e-02
0.000000000000000000e+00 -1.496325308443135327e+03 9.967251679441224699e-01 9.825269102155556045e-01 1.661802272789607571e-01
0.000000000000000000e+00 -1.407633093369853896e+03 9.546218796505241411e-01 9.890809792704707837e-01 1.894823608890606748e-01
0.000000000000000000e+00 -1.181199880813321442e+03 9.408861816648352860e-01 9.782294331657325204e-01 2.340393246785122949e-01
0.000000000000000000e+00 -1.042120168248766504e+03 7.184539791456739932e-01 8.739695650759884415e-01 2.217562166875775009e-02
0.000000000000000000e+00 -1.023441153186629435e+03 9.757879914070772820e-01 9.003943901787329063e-01 1.651865322433798688e-01
0.000000000000000000e+00 -9.966519969391281393e+02 7.130660236255258466e-01 9.452501266170681982e-01 1.504576634221276299e-01
0.000000000000000000e+00 -9.288142192664098502e+02 5.680445610939323098e-01 9.255966382926610336e-01 7.103605819788694209e-02
0.000000000000000000e+00 -8.511040972002149374e+02 9.258102402362098360e-01 8.337665311901576448e-01 9.573078148241342955e-02
2.331446376160258317e-319 -7.417364927088526656e+02 8.444247657892539616e-01 8.956293597912186044e-01 2.085618233312608316e-01
1.588904350476416592e-307 -7.144864108652998311e+02 5.840517780001015513e-01 9.271989165705383229e-01 1.540352705181139426e-01
1.797356837276306006e-296 -6.890322023713407589e+02 5.536171279062800377e-01 9.771036122196005147e-01 2.308458816034408834e-01
2.159470181655527822e-290 -6.750306460700145408e+02 8.054191568459984074e-01 9.856384259829756855e-01 3.775990890556101265e-01
1.268748683029979670e-248 -5.788514039438010741e+02 5.158672017875447491e-01 9.998332473683266830e-01 2.925716736362705683e-01
7.664772240010898435e-236 -5.494192791560759588e+02 5.130973961545335360e-01 8.614436091587679423e-01 6.958315919289781437e-02
3.056290005348427863e-225 -5.250077761668995890e+02 7.160161359414132232e-01 7.669614468359537973e-01 3.001741709498062516e-02
5.225942003766810103e-194 -4.530887049785208092e+02 8.522499787022888018e-01 9.136160929224579341e-01 3.861942036867108685e-01
1.390003002981821287e-187 -4.382924384894068908e+02 5.959420988800917529e-01 9.701465574120770041e-01 3.623140654490567547e-01
2.786182071829052481e-152 -3.570040939165365899e+02 6.458581010352174578e-01 9.204557534259306673e-01 3.548242811356272508e-01
2.925880199711843258e-146 -3.431371602258158759e+02 7.152143218147071213e-01 7.223845284483766394e-01 5.270457074547019172e-02
3.016964910381776332e-140 -3.292884936967687963e+02 9.886620230732380277e-01 8.441953706372862243e-01 4.141090828529185863e-01
8.421665210602534484e-136 -3.190490970770886747e+02 9.069831251626261359e-01 8.058531676766088614e-01 3.113283312970541727e-01
2.489089020372784734e-124 -2.926344667500775927e+02 9.694672892484421656e-01 8.308641398684259993e-01 4.157908454784606800e-01
1.228593561342210797e-122 -2.887328432832649128e+02 2.363480962921519213e-01 8.857905498873983596e-01 1.457544671411958870e-02
9.278012962243576360e-122 -2.867085659489296177e+02 7.367103101339226301e-01 3.138168398762131162e-03 2.274560205425951720e-01
3.926230519259586269e-117 -2.760531080771899610e+02 6.214235645688733767e-01 2.016434635416020082e-02 5.579001781504300261e-02
2.951677120246229208e-115 -2.717307441772486527e+02 9.725537451910565290e-01 6.938434293901201144e-01 1.867706717468330391e-01
4.370666605175129093e-111 -2.621253617907140097e+02 9.088834560288663322e-01 2.651178650099605960e-02 4.864603269107748984e-01
8.368314156351126332e-111 -2.614733248802154435e+02 5.687379468590034737e-01 8.766906929061690779e-01 2.994000663611808832e-01
4.536528581574318857e-110 -2.597805301464584886e+02 5.377709390897413844e-01 1.118398162917377814e-02 7.937895738159395087e-02
