norm alpha beta
2.661353485867549384e+00 2.642759412843424638e+00 3.398489085852461344e-01
3.287945233846557791e+00 2.575581984095643762e+00 5.586758464301159188e-01
2.949160081995852778e+00 2.573974262474573393e+00 3.458864079000048553e-01
3.021880827517623658e+00 2.614964667953655564e+00 3.558191030556633327e-01
2.252725884765585551e+00 2.634848611047905464e+00 1.633507220085478329e-01
3.246731230499952936e+00 2.657536185434424603e+00 5.418834246729099524e-01
2.583151873615568306e+00 2.455384165154383513e+00 2.351626170634250612e-01
3.128297765751215209e+00 2.570364953515568374e+00 4.151564747403251321e-01
3.371835095643105351e+00 2.627071126229342468e+00 3.309623574641906707e-01
2.726652143136087947e+00 2.472054516087963449e+00 2.363226576110095678e-01
3.021961920155586956e+00 2.602479272043026981e+00 4.772992825698728070e-01
2.566724097746440503e+00 2.635918004167451478e+00 3.787568130855349380e-01
2.990358323347974245e+00 2.678441338583076536e+00 4.882628138807979523e-01
2.726652143136087947e+00 2.472054516087963449e+00 2.363226576110095678e-01
2.539596128225593219e+00 2.484510793540672946e+00 7.980653330981588023e-02
2.605862316001028134e+00 2.592192274242875794e+00 3.287195797134754849e-01
2.515012867769769400e+00 2.587301921635903668e+00 2.368627902206074665e-01
2.912123830049127893e+00 2.759869859103921907e+00 4.801772832162016780e-01
2.997700201420177457e+00 2.432773244719918182e+00 2.005436474987459805e-01
3.534075467352904010e+00 2.680867563512221885e+00 6.879273634126945591e-01
2.945776330179559643e+00 2.596230954428119908e+00 3.649087016321348464e-01
2.302077419011635762e+00 2.581773092780689005e+00 1.891018367679775380e-01
2.618830188742398590e+00 2.586575644203092494e+00 3.200129730410421480e-01
2.302077419011635762e+00 2.581773092780689005e+00 1.891018367679775380e-01
2.466985826378733204e+00 2.714757684049630360e+00 4.454213722172048473e-01
3.091230599067575469e+00 2.672353497236913622e+00 6.008954357886948650e-01
3.150883417535223607e+00 2.442405610781633651e+00 2.402835300391841233e-01
3.014815667295167145e+00 2.676366658401466481e+00 3.040976894688396381e-01
2.621757981648597635e+00 2.717178706459167259e+00 5.237828942263095255e-01
3.215643477162507757e+00 2.619394114271989427e+00 5.866573475179299724e-01
3.021880827517623658e+00 2.614964667953655564e+00 3.558191030556633327e-01
