,nu_e,nu_mu,nu_tau
107226.72220103232,622660.852053809,203190.55627764316,381581.9357980573
120450.35402587836,699853.9622538851,249225.23602782073,461002.80858484167
135304.77745798076,813102.7772319317,314190.3028589347,556244.8807954926
151991.10829529332,895655.2396274986,403581.8019867509,633268.2532780116
170735.26474706887,981917.6806150172,468412.01985379786,778510.7235871237
191791.02616724887,1064779.3446897161,575920.3663952942,842023.4440785176
215443.46900318866,1145286.3413148564,655185.8111483466,957594.8546396559
242012.82647943834,1252770.6258913218,789031.2373701703,1071077.366992081
271858.824273294,1347612.5704229882,874054.7646910668,1170736.683486159
305385.55088334123,1485488.31701884,1004015.9897699055,1342779.3023507618
343046.9286314919,1539381.147991704,1086973.6079922921,1441475.2603550563
385352.85937105276,1695366.0702158287,1241354.2465085958,1514256.7111936216
432876.12810830615,1795939.1146112478,1359521.6013342931,1757306.7738498633
486260.1580065353,1904781.23690783,1473429.4388445301,1792917.7601534994
546227.7217684337,2032773.776510393,1642483.9381862318,1968514.3008973328
613590.7273413163,2189124.824728419,1827936.5477987682,2052204.9247315133
689261.2104349695,2232365.521696107,2019801.3424196106,2245261.055664118
774263.6826811278,2361969.747404438,2111850.2508294997,2428165.229509829
869749.0026177834,2428644.849555876,2276123.138048268,2573288.5420612525
977009.9572992247,2732805.2058481555,2385413.3089715904,2860070.46824967
1097498.7654930567,2853692.917951557,2683058.59737482,2982953.6443244023
1232846.7394420658,3013217.0129360165,2808588.5996256,3178735.2116360287
1384886.3713938717,3141380.3200766933,3033365.729228875,3476869.5544060813
1555676.1439304722,3386186.5129338885,3123637.7260006494,3530845.6025506067
1747528.4000076829,3681005.892601514,3436568.081210969,3669030.4944651676
1963040.6500402724,3751907.007089669,3479099.713655265,4157583.3378123287
2205130.739903046,4020880.9684503125,3716992.236563652,4329929.958391751
2477076.355991709,4266698.257359247,3844596.5386829376,4608421.015444494
2782559.402207126,4555745.209779375,4340426.889087822,4230023.522020162
3125715.849688235,4588294.615391396,4331550.149121627,4886254.556598686
3511191.7342151273,5283233.112370396,4799080.696323432,5368350.602712369
3944206.059437656,5690598.011148615,4965085.8252502335,5511394.776090592
4430621.457583877,6466661.614121477,5126039.374428122,5679016.21986239
4977023.564332114,7753462.145825638,5383326.548191693,6196217.338297034
5590810.182512223,13225834.298779229,5681785.547624887,6472307.784835865
6280291.441834247,88384348.04994556,5882736.542088854,7114368.8469632575
7054802.310718645,94503168.86733861,6072858.793975819,7629679.212537076
7924828.98353917,14047117.954124253,6504822.467922647,7393711.424181218
8902150.854450393,8845789.44284154,6465554.668262739,8066287.395028961
10000000.0,8489621.456943398,7164737.975737969,8483247.57718188
10000000.0,8337387.6694067065,8337387.6694067065,8337387.6694067065
11288378.916846883,8656568.802150952,8656568.802150952,8656568.802150952
12742749.857031347,8987969.181443335,8987969.181443335,8987969.181443335
14384498.882876629,9332056.598048687,9332056.598048687,9332056.598048687
16237767.391887208,9689316.751217319,9689316.751217319,9689316.751217319
18329807.108324375,10060253.93427762,10060253.93427762,10060253.93427762
20691380.811147902,10445391.746475082,10445391.746475082,10445391.746475082
23357214.690901212,10845273.832062995,10845273.832062995,10845273.832062995
26366508.987303555,11260464.647687577,11260464.647687577,11260464.647687577
29763514.416313194,11691550.259151207,11691550.259151207,11691550.259151207
33598182.862837814,12139139.168678021,12139139.168678021,12139139.168678021
37926901.90732254,12603863.173850078,12603863.173850078,12603863.173850078
42813323.98719396,13086378.25942593,13086378.25942593,13086378.25942593
48329302.38571752,13587365.52330117,13587365.52330117,13587365.52330117
54555947.811685145,14107532.13791728,14107532.13791728,14107532.13791728
61584821.10660267,14647612.34847641,14647612.34847641,14647612.34847641
69519279.61775605,15208368.509370854,15208368.509370854,15208368.509370854
78475997.03514607,15790592.16029032,15790592.16029032,15790592.16029032
88586679.04100832,16395105.143525809,16395105.143525809,16395105.143525809
100000000.0,17022760.764047526,17022760.764047526,17022760.764047526
