,nu_e,nu_mu,nu_tau
11220.184543019654,0.0,0.0,0.0
12589.254117941662,0.0006502339926260957,0.0,0.0
14125.375446227554,0.0016550299958049085,0.0,0.00016386538301005246
15848.93192461114,0.005214048978119189,0.0002306889441464569,0.0009095542641133162
17782.794100389227,0.02206614132591116,0.001209858628907234,0.002557627376411443
19952.62314968883,0.04313646605810931,0.004113050127791918,0.009679128508004864
22387.21138568338,0.09363171614388012,0.006964184177629545,0.016493668027973644
25118.864315095823,0.158180185630313,0.013907242070439654,0.04691135929859581
28183.82931264455,0.2590696017053891,0.030708656879316377,0.07840526432930969
31622.776601683792,0.3902205836902172,0.054081762475966084,0.13114139853196122
35481.3389233576,0.5537046550762906,0.08237426695815861,0.22634012857964111
39810.71705534969,0.774678142692856,0.12967245000192235,0.341698482769476
44668.359215096345,1.092295892979131,0.21692461436597205,0.5070056230898896
50118.72336272725,1.6160331450599066,0.2910944497047742,0.6878998568895438
56234.13251903491,2.11492615822131,0.45236749942719773,0.9611266637819709
63095.73444801943,2.8269413325943495,0.6542749713366703,1.425660721311512
70794.57843841374,3.4409509304186345,0.8911181398606428,1.7512501140790602
79432.82347242821,4.221090935729468,1.235720070365256,2.431535328003744
89125.0938133746,5.163777288336692,1.6503956414162724,2.9693246016616563
100000.0,6.226608520538089,2.0319055627764318,3.815819357980573
