,nu_e,nu_mu,nu_tau
10476.157527896663,0.0,0.0,0.0
11768.119524349991,0.0,0.0,0.0
13219.411484660288,0.0006502339926260957,0.0,0.0
14849.682622544635,0.0016550299958049085,0.0,0.00016386538301005246
16681.005372000593,0.005214048978119189,0.0002306889441464569,0.0009095542641133162
18738.17422860383,0.02206614132591116,0.001209858628907234,0.002557627376411443
21049.04144512022,0.04313646605810931,0.004113050127791918,0.009679128508004864
23644.894126454074,0.09363171614388012,0.006964184177629545,0.016493668027973644
26560.87782946684,0.158180185630313,0.013907242070439654,0.04691135929859581
29836.472402833402,0.2590696017053891,0.030708656879316377,0.07840526432930969
33516.02650938841,0.3902205836902172,0.054081762475966084,0.13114139853196122
37649.35806792471,0.5537046550762906,0.08237426695815861,0.22634012857964111
42292.42874389499,0.774678142692856,0.12967245000192235,0.341698482769476
47508.101621027934,1.092295892979131,0.21692461436597205,0.5070056230898896
53366.99231206302,1.6160331450599066,0.2910944497047742,0.6878998568895438
59948.42503189409,2.11492615822131,0.45236749942719773,0.9611266637819709
67341.50657750828,2.8269413325943495,0.6542749713366703,1.425660721311512
75646.3327554629,3.4409509304186345,0.8911181398606428,1.7512501140790602
84975.34359086439,4.221090935729468,1.235720070365256,2.431535328003744
95454.84566618328,5.163777288336692,1.6503956414162724,2.9693246016616563
