,nu_e,nu_mu,nu_tau
10115794542599.004,32.823759658683926,32.94629228896183,32.91329259595636
10351421666793.451,31.361515119009116,31.484021741956685,31.45102905088592
10592537251772.896,29.96508020248198,30.087561136718694,30.054575361738614
10839269140212.04,28.631492990347216,28.75394853961792,28.720969598887798
11091748152624.01,27.35792487035233,27.480355323461055,27.447383139161175
11350108156723.143,26.141674536900794,26.264080167615944,26.231114665972974
11614486138403.414,24.98016226122538,25.102543328153914,25.069584439474653
11885022274370.164,23.870924419444055,23.993281165872787,23.960328824586682
12161860006463.703,22.811608266881652,22.93394092058266,22.90099506529407
12445146117713.87,21.799966947575975,21.92227572057319,21.889336294124
12735030810166.629,20.83385472838166,20.95613981667552,20.92320676621909
13031667784523.0,19.91122244756096,20.033484030807067,20.000557307894503
13335214321633.24,19.030113168207745,19.152351409345542,19.119430970025448
13645831365889.238,18.188658027285317,18.310873072111775,18.27795887704474
13963683610559.363,17.385072271466164,17.507264248149124,17.47435626273846
14288939585111.008,16.617651471369555,16.73982048989446,16.706918684434854
14621771744567.152,15.884767906167816,16.006914057710826,15.97401840755676
14962356560944.36,15.18486711087887,15.306990467098272,15.27410095285441
15310874616820.318,14.51646457903148,14.63856519126799,14.605681799004062
15667510701081.502,13.8781426137008,14.000220512076345,13.967343233569324
16032453906900.418,13.268547320231017,13.390602512633503,13.357731345640412
16405897731995.387,12.686385734265176,12.80841820520536,12.775553153770474
16788040181225.59,12.130423078984261,12.252432788307795,12.219573863108762
17179083871575.86,11.599480145729887,11.721467027165946,11.688614245903835
17579236139586.895,11.092430792455874,11.214394751979562,11.181548139818961
17988709151287.91,10.608199554683262,10.730140468665564,10.697300058731795
18407720014689.582,10.14575936389233,10.267677077006715,10.234842910948437
18836490894898.02,9.704129368493016,9.826023691341794,9.793195819968954
19275249131909.367,9.282372852738778,9.404243559155542,9.371422043164369
19724227361148.535,8.879595249155402,9.001442073131104,8.968626983930276
20183663636815.598,8.494942240238835,8.616764872408597,8.583956293063473
20653801558105.27,8.127597945374372,8.24939602898829,8.216594055303826
21134890398366.434,7.7767831890906765,7.898556315376039,7.865761057143295
21627185237270.246,7.441753846932265,7.563501549732461,7.530713132169517
22130947096056.41,7.1217992653807976,7.243521014929838,7.210739580355044
22646443075930.617,6.816240752399506,6.937935948055825,6.905161657840793
23173946499684.797,6.5244301352963925,6.646098097014403,6.613331133876275
23713737056616.55,6.24574838271693,6.367388340974795,6.3346289116834855
24266100950824.145,5.979604287663128,6.101215371486115,6.068463710083458
24831331052955.68,5.725433208504596,5.847014431115134,5.814270802771995
25409727055493.01,5.482695864978233,5.604246106458186,5.571510812134735
26001595631652.668,5.250877186154395,5.372395172300066,5.339668554429533
26607250597988.14,5.029485207264162,5.150969483527103,5.118251933020632
27227013080779.156,4.8180500120788965,4.939498911070785,4.906790876052542
27861211686297.723,4.616122717169898,4.737534317600007,4.704836314445695
28510182675039.098,4.423274493715083,4.544646567711318,4.511959195210029
29174270140011.66,4.239095621371536,4.360425565717046,4.327749523558047
29853826189179.57,4.063194566713582,4.184479311268474,4.1518154246632015
30549211132155.094,3.8951970750788454,4.0164329579214435,3.9837822111758743
31260793671239.492,3.7347452578020834,3.85592785019535,3.8232914337779107
31988951096914.04,3.581496643274881,3.702620495954344,3.6699998747291493
32734069487883.863,3.4351231317749007,3.556181391833213,3.523578408110742
33496543915782.793,3.29530972903636,3.4162935310326032,3.38371056838296
34276778654645.047,3.161752769344728,3.2826502018818626,3.2500904632410754
35075187395256.793,3.0341568639478673,3.1549510561400167,3.122419078981193
35892193464500.5,2.912228154602998,3.032893282024002,3.0003960144006765
36728230049808.42,2.795653826081481,2.9161452402908195,2.8836947037057143
