,nu_e,nu_mu,nu_tau
10154689924330.785,42.983383728772544,46.04076093025974,45.21531679042198
10471285480508.984,40.771158097373835,43.727539402832576,42.92932517964739
10797751623277.094,38.67765375638977,41.535233609992446,40.7636595392273
11134396090623.62,36.696081394573945,39.45705509800236,38.711531126202715
11481536214968.84,34.820059668708545,37.48662267058799,36.76655864144563
11839499222293.041,33.0435906614116,35.617937658530465,34.92274355014342
12208622540590.693,31.361036733174583,33.84536057861168,33.1744467929999
12589254117941.662,29.76709872796947,32.16358915843528,31.516366860048375
12981752750498.49,28.256795449734568,30.567637644570503,29.9435191444868
13386488420699.94,26.82544432176871,29.052817302446165,28.451216485931894
13803842646028.867,25.468643167881307,27.614718051113357,27.035050845058425
14234208838643.387,24.182253058400008,26.249191180186138,25.690876055797236
14677992676220.676,22.962382147588634,24.952333072254895,24.41479157926119
15135612484362.072,21.805370454061972,23.72046988639777,23.203127213931662
15607499630921.113,20.70777553364156,22.550143154301338,22.052428713055384
16094098932625.361,19.66635899536725,21.43809624069754,20.959444260685107
16595869074375.63,18.678073804631186,20.38126160916559,19.921111748191137
17113283041617.775,17.74005234653488,19.37674887307439,18.934546829214376
17646828566194.98,16.849595196928483,18.421833574928534,17.997031697444953
18197008586099.824,16.00416057109614,17.51394666709021,17.1060045593794
18764341719560.855,15.20135441084375,16.650664653039563,16.259049761638373
19349362753909.543,14.438921076123087,15.829700354673717,15.45388853850574
19952623149688.83,13.71473461614618,15.048894282147184,14.688370355764516
20574691560478.36,13.026790579861869,14.30620656115536,13.960464807059594
21216154368926.824,12.37319834755882,13.599709401676682,13.268254046187039
21877616239495.52,11.752173952312875,12.92758007344433,12.60992572149981
22559700688435.77,11.162033364936265,12.288094359520006,11.983766384409773
23263050671536.285,10.60118621881651,11.679620462305813,11.38815534686732
23988329190194.95,10.068129954109052,11.100613340033686,10.821558966236275
24736219916386.176,9.561444353826506,10.549609442461975,10.282525327319114
25507427837113.566,9.079786447978659,10.0252218148662,9.769679292508478
26302679918953.816,8.62188577629925,9.526135569221674,9.281717916735928
27122725793320.297,8.186539975774409,9.051103673952733,8.817406182566724
27968338463090.805,7.772610677614566,8.598943049227573,8.37557304180758
28840315031266.117,7.379019695332964,8.168530946406607,7.9551077430628645
29739477452346.016,7.0047454831477385,7.758801587616029,7.554956422094317
30666673307131.805,6.648819847051226,7.368743045739107,7.1741189358405455
31622776601683.793,6.3103248896517945,6.997394343572262,6.811645919491512
32608688591189.355,5.988390172119077,6.643842754117625,6.466636048970024
33625338629516.316,5.682190076083435,6.307221283478799,6.138233490674498
34673685045253.098,5.39094135014054,5.986706320526107,5.8256255227947324
35754716045062.086,5.113900824669431,5.681515436394778,5.528040311452014
36869450645195.734,4.850363281272445,5.390905320565663,5.2447448283071605
38018939632056.125,4.599659463764024,5.114169841548868,4.975042897374388
39204266552701.555,4.361154214586841,4.850638214372237,4.718273353697914
40426548736234.49,4.134244731795902,4.599673276639836,4.473808313888038
41686938347033.47,3.9183589289311302,4.360669851626243,4.24105153801331
42986623470822.72,3.7129538918868334,4.133053197056345,4.0194368802805585
44326829234600.87,3.517514422882069,3.916277530683679,3.808426819340569
45708818961487.516,3.3315516640325242,3.7098246270209922,3.607511062069878
47133895361574.09,3.1546017936172612,3.5132024799096717,3.4162052150807662
48603401759902.26,2.986224788880367,3.3259440262201103,3.234049518854766
50118723362727.15,2.8260032503139443,3.1476059270089465,3.0606076404485103
51681288563260.3,2.6735412828129457,2.977767402642802,2.8954655209753417
53292570288120.03,2.5284634297474455,2.816029118911045,2.738230274618143
54954087385762.484,2.3904136564697698,2.662012121458305,2.588529136281961
56667406058199.195,2.2590543804426826,2.5153568165161677,2.4460084556496584
58434141337351.87,2.1340655451626613,2.3757219956718574,2.3103327352241685
60255958607435.69,2.015143735646889,2.2427839030373113,2.181183710558006
62134575174807.52,1.902001333428033,2.116235343241083,2.058259470960638
64071761886755.375,1.7943657091775613,1.9957848287387612,1.9412736190750244
66069344800759.64,1.6919784513075138,1.8811557650584152,1.8299544678643793
68129206905796.22,1.5945946290991977,1.7720856726778185,1.7240442736624162
70253289897305.35,1.5019820890198106,1.6683254441911584,1.6232985039425385
72443596007498.9,1.4139207829087315,1.5696386352798652,1.52748513836328
74702189892733.12,1.330202126922442,1.4758007881423865,1.436384001806455
77031200579721.47,1.2506283899771862,1.3865987857393374,1.3497861278670733
79432823472428.22,1.1750121104751663,1.3018302352297695,1.26749315128162
81909322421529.84,1.1031755399945706,1.2213028788281368,1.1893167276467596
84463031858396.7,1.0349501126076723,1.1448340303317825,1.1150779787914455
87096358995607.97,0.9701759383013349,1.0722500353722757,1.0446069619709513
89811786096069.4,0.9087013189697473,1.0033857535214776,0.9777421611069164
92611872812879.38,0.8503822853503553,0.9380840603345628,0.9143299982353699
95499258602143.69,0.795082153193282,0.876195367394623,0.8542243632901441
98476665211015.98,0.7426710969690818,0.8175771585344437,0.7972861604341837
101546899243307.86,0.6930257393573802,0.7620935404234108,0.7433828691436344
104712854805089.84,0.6460287547979037,0.7096148058636786,0.6923881183744067
107977516232770.94,0.6015684854124813,0.6600170082955532,0.6441812722623007
111343960906236.19,0.559538567674016,0.6131815462381216,0.5986470259913841
114815362149688.4,0.5198375683024555,0.5689947566909892,0.5556750107126501
118394992222930.4,0.48236862804040703,0.5273475169363405,0.5151594067436491
122086225405906.94,0.44703911216337905,0.48813485465604395,0.47699856468170315
125892541179416.62,0.41376026690372664,0.4512555669316116,0.441094634627512
129817527504984.89,0.3824468813630843,0.4166118494444738,0.4073532043695917
133864884206999.4,0.3530169550182983,0.38410893810232627,0.37568294818521863
138038426460288.67,0.3253913715984016,0.35365476635887083,0.3459952888537455
142342088386433.88,0.29949358092556344,0.32515964262128494,0.31820407651837335
146779926762206.75,0.27524929130726455,0.2985359533360892,0.29222528917050206
151356124843620.72,0.25258617618866114,0.27369789845811027,0.26797676064196135
156074996309211.12,0.23143360002522287,0.2505612669541673,0.24537794301352786
160940989326253.62,0.21172236960804677,0.22904326053660018,0.22434971108181598
165958690743756.3,0.19338451826473604,0.20906237376040188,0.20481421679692072
171132830416178.44,0.1763531312734056,0.19053833768302497,0.1866948011430914
176468285661949.8,0.16056222122286626,0.1733921322465768,0.16991596955156754
181970085860998.25,0.145946661634132,0.1575460692517769,0.15440343442446502
187643417195608.56,0.1324421856042869,0.1429239432589304,0.1400842246313452
193493627539095.4,0.11998545328319955,0.12945124226158,0.1268868570568489
199526231496888.28,0.10851418751643746,0.11705540411839124,0.11474155981888937
205746915604783.6,0.0979673711500031,0.10566609942420116,0.10358053135835465
212161543689268.22,0.08828549285623384,0.09521551785550036,0.09333821517218054
218776162394955.2,0.07941082195071507,0.08563863408984976,0.08395156756172531
225597006884357.72,0.07128768796038289,0.07687343179772886,0.07536029623337717
232630506715362.88,0.06386273918138077,0.06886106980998918,0.06750705123128778
239883291901948.5,0.057085157159507016,0.061545982348227994,0.0603375560417628
247362199163861.75,0.050906810870921915,0.054875913463469414,0.05380067454055988
255074278371135.66,0.04528234388909019,0.04880189272465764,0.04784841703358978
263026799189538.16,0.04016919743822763,0.04327816344934882,0.04243589434699295
271227257933202.97,0.03552757937146986,0.03826207607193115,0.037521231827346194
279683384630908.06,0.03132039238304954,0.03371395823649569,0.0330654552895763
288403150312661.2,0.02751313448433157,0.029596970977969782,0.029032359271457916
297394774523460.2,0.02407378242264104,0.025876957910053733,0.025388365541247737
306666733071318.06,0.020972665863450077,0.02252229224752967,0.022102377506053275
316227766016837.94,0.018182337714981168,0.019503724920913297,0.019145634360103372
326086885911893.56,0.015677444197794287,0.01679423593074618,0.016491567518567733
336253386295163.1,0.013434597050221268,0.014368890312520224,0.01411566098667751
346736850452530.94,0.011432249439920624,0.012204699531526898,0.011995316688398792
357547160450620.9,0.00965057658632104,0.010280488723502599,0.010109725331042697
368694506451957.3,0.008071361698109156,0.008576769888379202,0.008439743048410563
380189396320561.25,0.00667788753742535,0.007075620894215365,0.006967773803274848
392042665527015.56,0.005454833698492321,0.005760569926679094,0.005677657307715517
404265487362344.94,0.0043881795029302095,0.004616484799906194,0.004554562009708632
416869383470336.4,0.0034651122398798783,0.0036294662999882725,0.0035848824692893176
429866234708227.2,0.002673940285691662,0.0027867444297660932,0.002756140175374694
443268292346008.7,0.0020040103849965508,0.0020765760208889205,0.0020568864934992184
457088189614875.2,0.0014456280028641933,0.0014881416220631212,0.0014766059300069384
471338953615741.0,0.0009899789680797321,0.001011438653630442,0.001005617045288684
486034017599022.6,0.0006290495605739177,0.0006371665596622084,0.0006349671480918576
