,nu_e,nu_mu,nu_tau
112201845430196.53,0.3648065552469079,0.39713824386320173,0.3884062928564266
141253754462275.53,0.2089037802596493,0.22628773706389388,0.22159293678398972
177827941003892.28,0.11112425265373863,0.11969311333086716,0.11737972544839684
223872113856833.78,0.05349884333314251,0.0574456438127109,0.05638058044930744
281838293126444.94,0.022511962285680753,0.024142971009475517,0.02370279510768599
354813389233576.06,0.0074656888217176625,0.007926183647464525,0.0078018826669488004
446683592150963.5,0.0011398901052919984,0.001135942630863421,0.0011371395323079257
562341325190349.06,3.609295625078302e-07,3.308925776815615e-07,3.3911945012583987e-07
707945784384137.4,0.000629918694818959,0.0005632586961961708,0.0005814803002196414
891250938133744.1,0.0011074950198933853,0.0010391454874630994,0.0010578179128177738
1122018454301965.2,0.0008631081244461384,0.0008498274256074573,0.0008534954635255552
1412537544622755.5,0.00044692005488462745,0.0004556998662811361,0.0004533514886034165
1778279410038922.8,0.00013960894174872932,0.00014263990888119151,0.0001418273827563946
2238721138568337.8,2.2212782407251243e-08,2.119300886628431e-08,2.1474098727064616e-08
2818382931264449.0,6.724270097262639e-06,6.31598176437643e-06,6.427556587101428e-06
3548133892335760.5,1.2171680122403416e-08,1.1091924223707211e-08,1.1387891022341236e-08
4466835921509635.0,1.1673215932129478e-05,1.0145021289032537e-05,1.0562836275046621e-05
5623413251903491.0,2.2963198194832508e-05,2.0568871415133337e-05,2.1222864256163646e-05
7079457843841373.0,2.1325652468232244e-05,1.9394097825603047e-05,1.9921292100849288e-05
8912509381337441.0,1.666308424240362e-05,1.5283773158782472e-05,1.5659990684204777e-05
1.1220184543019652e+16,1.2134242094533564e-05,1.11886610581767e-05,1.1446405962321327e-05
1.4125375446227496e+16,8.522963671102871e-06,7.88735919272462e-06,8.060492987588417e-06
1.7782794100389228e+16,5.858453364275031e-06,5.436789693960736e-06,5.55156550130843e-06
2.2387211385683468e+16,3.967230563268654e-06,3.690384801764069e-06,3.7656850399194164e-06
2.8183829312644492e+16,2.6545814891963076e-06,2.474191521814855e-06,2.523217906760456e-06
3.5481338923357604e+16,1.75677527083273e-06,1.6395606155656991e-06,1.6713910420970146e-06
4.466835921509617e+16,1.1493698209030567e-06,1.0727791811832656e-06,1.0935599864916136e-06
5.623413251903491e+16,7.421605743169371e-07,6.911826511571878e-07,7.050017045248484e-07
7.0794578438414024e+16,4.714581408032561e-07,4.3631586047355706e-07,4.4583338796788985e-07
8.91250938133744e+16,2.933191256660289e-07,2.6788742828358265e-07,2.747687685796083e-07
