,nu_e,nu_mu,nu_tau
202082301322350.88,0.10651306739599287,0.1149075371960829,0.11263306944045563
206312169369368.06,0.09936872121182494,0.10719366775649278,0.10507353684400353
210630574530117.0,0.0926274935163341,0.09991686669637323,0.09794186398230414
215039370011462.2,0.08627085098930132,0.09305630455763388,0.09121784534246723
219540447810508.38,0.08028071285803835,0.08659181633090693,0.08488188229937291
224135739526531.66,0.0746394923460571,0.08050392786120608,0.0789150135555276
228827217189910.66,0.06933013351527299,0.07477387509036812,0.07329893913258151
233616894108402.94,0.06433614209328418,0.06938361603771681,0.06801603745831947
238506825731144.4,0.059641609358186895,0.06431583582535308,0.06304937551651141
243499110530725.16,0.05523122869783833,0.05955394537661475,0.05838271240848548
248595890903728.1,0.051090304986383554,0.055082074626953276,0.05400049697163968
253799354090126.16,0.047204757356963986,0.050885061184328534,0.049887860290732576
259111733111913.8,0.04356111624344524,0.046948435374210395,0.046030604017506305
264535307731391.56,0.040146515700627564,0.043258402530141106,0.04241518539864671
270072405429502.12,0.03694868201358997,0.039801823277179765,0.039028699830661304
275725402404655.72,0.03395591951173827,0.03656619242653766,0.035858861641056824
281496724592451.0,0.03115709436260179,0.03353961697766865,0.03289398366836525
287388848706746.94,0.028541616971041905,0.030710793617342698,0.030122956095251997
293404303302519.0,0.026099423473490105,0.02806898601645213,0.02753522488722552
299545669860973.8,0.02382095670608883,0.025604002156265175,0.025120770108986258
305815583897365.25,0.02169714693539081,0.02330617185867259,0.02287008432420791
312216736092006.06,0.01971939257392256,0.021166324653918787,0.020774151236542287
318751873444945.1,0.01787954104812555,0.019175768082668285,0.018824424688015783
325423800454826.8,0.01616986994694723,0.01732626650399354,0.017012808101886594
332235380322414.1,0.014583068546654053,0.015610020457981929,0.015331634431453092
339189536179302.94,0.013112219782838734,0.014019646614458151,0.01377364665707532
346289252342366.7,0.01175078272075776,0.012548158324808063,0.012331978857701908
353537575594445.8,0.010492575550825908,0.011188946770065041,0.011000137859223982
360937616491851.06,0.00933175914214175,0.00993576271340002,0.009771985474540647
368492550699226.75,0.008262821183621403,0.008782698865748536,0.008641721349761555
376205620352368.8,0.0072805608816522,0.007724172794892459,0.007603866357341414
384080135449553.94,0.006380074224143174,0.006754910364928635,0.006653246529344056
392119475272000.56,0.005556739800306333,0.005869929666441266,0.005784977499068165
400327089834051.94,0.0048062051575911,0.0050645253865508316,0.004994449409015006
408706501363730.3,0.004124373669649584,0.004334253557208819,0.004277312233282381
417261305814264.44,0.0035073918816747483,0.0036749166078668587,0.0036294614515397046
425995174407266.1,0.0029516372891939214,0.003082548632939194,0.0030470239975564526
434911855208196.44,0.0024537064922317492,0.002553400764051486,0.0025263443865981205
444015174734826.6,0.0020104036512126455,0.0020839265138375518,0.002063970904955196
453309039599350.75,0.0016187291416834672,0.0016707669218731674,0.0016566417107041972
462797438184869.4,0.001275868269097286,0.0013107352884450785,0.001301270652551335
472484442356981.4,0.0009791798958402845,0.001000801283115153,0.0009949326123552707
482374209211182.8,0.000726184929554301,0.0007380743762190592,0.0007348483211283903
492470982856853.44,0.0005145536878565666,0.000519785411108945,0.0005183675215238777
502779096238571.75,0.0003420920144167555,0.0003432663232723309,0.0003429504499673825
513302972995573.5,0.0002067253623308457,0.00020592739381363975,0.00020614698271562308
524047129360111.0,0.0001064795445529787,0.00010523116517030939,0.00010557246169586513
535016176095559.56,3.945669999437015e-05,3.8662466508589554e-05,3.887940809370029e-05
546214820475079.1,3.815595716809081e-06,3.703324782558101e-06,3.7339962321952674e-06
557647868301713.5,4.3611324160049585e-08,4.188108912544057e-08,4.235349500251029e-08
569320225970753.2,1.9004531075832175e-05,1.805517770792334e-05,1.8314539809945466e-05
581236902575266.8,6.579411754646146e-05,6.18553029408933e-05,6.293191694173945e-05
593403012055723.5,0.0001354565100985155,0.0001260320029413603,0.00012860908878224627
605823775394589.2,0.00022492290467331566,0.00020727337958691838,0.00021210094276418034
618504522856870.8,0.00033050504197482084,0.00030205332678093656,0.0003098366997606163
631450696277544.0,0.0004480218884488028,0.00040673994929558326,0.0004180333520617394
644667851396886.1,0.0005730659884538809,0.0005177364024283584,0.0005328711996935467
658161660244664.2,0.0007013243156888675,0.0006316344118618935,0.0006506935614171352
671937913574244.4,0.0008288553642362196,0.000745345512784979,0.0007681781688055146
686002523347632.5,0.0009522723533355373,0.000856190227154055,0.0008824521168915205
700361525272559.6,0.0010688283218790338,0.0009619418162517522,0.00099114683529693
715021081392643.1,0.001176423164712777,0.0010608310833784224,0.0010924033517114315
729987482731781.6,0.0012735588476395965,0.0011515223084816177,0.0011848424080869665
745267151993882.2,0.0013592655223553106,0.0012330698616569709,0.001267512608434725
760866646319127.1,0.0014330202138984486,0.0013048702961634862,0.0013398332925482386
776792660097902.6,0.0014946650584503058,0.001366611393956407,0.001401535108773686
793052027843646.1,0.0015443306434757868,0.0014182212900795193,0.0014526020659964005
809651727125807.0,0.00158236856010346,0.0014598215471698526,0.0014932189935015848
826598881564229.6,0.0016092941040138377,0.0014916854827875168,0.0015237256041299952
843900763886182.2,0.0016257390229863717,0.0015142024361192211,0.0015445776267180521
861564799047392.5,0.0016324132168544178,0.0015278476344139805,0.0015563144580937474
879598567418389.8,0.0016300741750313653,0.001533157173743382,0.0015595326473756077
898009808037578.2,0.001619502939677403,0.0015307075344332234,0.0015548644586069263
916806421932368.9,0.001601485463476552,0.0015210990126785563,0.0015429607523018492
935996475509826.8,0.0015767983641993032,0.0015049424709273063,0.0015244774786308296
955588204018323.5,0.0015461982258432336,0.0014828488608337848,0.0015000651528070705
975590015081609.4,0.0015104137391623964,0.001455421037508717,0.0014703607696671566
996010492306881.0,0.0014701401024141227,0.0014232474510228106,0.0014359816983744132
1016858398968347.6,0.0014260352130138392,0.0013868973655478756,0.001397521175063979
1038142681767939.6,0.0013787172717428596,0.0013469173145865146,0.0013555450783204347
1059872474674698.0,0.001328763495142318,0.0013038285517110917,0.001310589729638324
1082057102844526.4,0.0012767096911875397,0.001258125299887938,0.0012631605089797337
1104706086622027.6,0.0012230505009985613,0.0012102736391433038,0.0012137311152094128
1127829145626062.8,0.0011682401481138776,0.0011607109032035097,0.0011627433342072675
1151436202920850.8,0.00111269356841597,0.0011098454810861622,0.001110607204490379
1175537389274348.8,0.001056787819850269,0.0010580569405170873,0.0010577014924764254
1200143047505813.2,0.0010008636923264562,0.00100569640690386,0.00100437440757256
1225263736924314.2,0.0009452274553379652,0.0009530871450618736,0.0009509445017420357
1250910237860182.5,0.000890152694401059,0.0009005253015098007,0.000897701709622771
1277093556291276.8,0.0008358821980800953,0.000848280773512876,0.0008449084942580955
