,nu_e,nu_mu,nu_tau
10154689924330.785,32.351366792154415,32.404077208872934,32.38988157331346
10471285480508.984,30.43330696713475,30.486021736687217,30.471824926875243
10797751623277.094,28.629476864729497,28.682195453899162,28.667997613395613
11134396090623.62,26.933073446096614,26.985795325642282,26.971596596933544
11481536214968.84,25.337698826557414,25.39042347016024,25.37622399494156
11839499222293.041,23.837336146273696,23.890063029420325,23.87586294889632
12208622540590.693,22.426326877914004,22.479055476705767,22.46485493191079
12589254117941.662,21.09934948572836,21.152079275604542,21.137878407746186
12981752750498.49,19.851399355536522,19.90412980989785,19.889928760727244
13386488420699.94,18.677769919935585,18.73050050865128,18.716299420864726
13803842646028.867,17.574034907539023,17.626765095318714,17.61256411299565
14234208838643.387,16.53603164928595,16.58876089389351,16.574560162976976
14677992676220.676,15.559845378862384,15.61257312914486,15.598372797971681
15135612484362.072,14.641794468007383,14.694520161707135,14.680320381596431
15607499630921.113,13.778416541008557,13.831139602319876,13.816940528230248
16094098932625.361,12.966455416002423,13.019175252826425,13.00497704409431
16595869074375.63,12.202848823805997,12.255564824647134,12.241367645821521
17113283041617.775,11.48471685793798,11.537428388373037,11.52323241016516
17646828566194.98,10.80935111222895,10.862057510863277,10.847862911234223
18197008586099.824,10.174204465012895,10.226905038818089,10.212712004232735
18764341719560.855,9.576881471309452,9.629575490209636,9.615384217092682
19349362753909.543,9.015129326681897,9.067816017220846,9.05362671366006
19952623149688.83,8.486829368586921,8.539507906462106,8.525320794216313
20574691560478.36,7.989989083020048,8.042658584207206,8.028473901093363
21216154368926.824,7.522734586114395,7.575394096222316,7.561212098978613
21877616239495.52,7.083303552066669,7.135952033446033,7.121773001199092
22559700688435.77,6.670038560332511,6.722674876300889,6.708499114808664
23263050671536.285,6.281380836453519,6.334003731768805,6.319831578672623
23988329190194.95,5.915864362103127,5.968472438484955,5.9543042698936635
24736219916386.176,5.572110330936991,5.624702015943195,5.610538254804885
25507427837113.566,5.248821927498968,5.301395434318189,5.28723656123572
26302679918953.816,4.94477940659434,4.997332681154445,4.983179248613553
27122725793320.297,4.65883544987068,4.711366099797291,4.697218751278096
27968338463090.805,4.389910774160548,4.442415971015491,4.428275467293901
28840315031266.117,4.136989961065066,4.189466301905837,4.17533355830195
29739477452346.016,3.899117466173151,3.9515607706481304,3.937436911624487
30666673307131.805,3.6753937418186,3.7277987419929666,3.7136851846274617
31622776601683.793,3.464971349929493,3.517331190436919,3.5032297789619387
32608688591189.355,3.2670507942862743,3.3193561700422416,3.305269407989356
33625338629516.316,3.080875370147484,3.1331128967512756,3.1190443858143935
34673685045253.098,2.9057228038066527,2.9578715169337353,2.9438269002075232
35754716045062.086,2.7408842711970998,2.7929065290656068,2.7788959448887383
36869450645195.734,2.5855650568838526,2.637375274921905,2.6234218152876982
38018939632056.125,2.437422079223254,2.489101787817422,2.475183431650051
39204266552701.555,2.2976844130589607,2.3491999288376535,2.335325751075247
40426548736234.49,2.1658129204813035,2.2171314974587495,2.203310318823831
41686938347033.47,2.041291894468517,2.0923800610935364,2.0786208975827143
42986623470822.72,1.9236394731853301,1.9744633767587132,1.9607753469786848
44326829234600.87,1.8124183560924265,1.8629442503006821,1.8493364441666613
45708818961487.516,1.7072535874213177,1.757447674995531,1.7439291962927002
47133895361574.09,1.6078406072265163,1.6576678022816869,1.6442481025183353
48603401759902.26,1.5139157841102462,1.5633388527848002,1.550027962901284
50118723362727.15,1.4252125738463846,1.474192786100005,1.461001140556529
51681288563260.3,1.3414498258870737,1.3899480297610487,1.3768861767379383
53292570288120.03,1.2623428550631095,1.3103201074286441,1.2973985386962306
54954087385762.484,1.1876141431457519,1.2350319414233482,1.222261029849482
56667406058199.195,1.1169985441682262,1.1638188698315788,1.1512088576539563
58434141337351.87,1.0502450199298958,1.0964303130219968,1.0839913187259291
60255958607435.69,0.987116815798138,1.0326299293724417,1.020371959982255
62134575174807.52,0.9273910261312602,0.9721951783914083,0.960128142382544
64071761886755.375,0.8708579489076964,0.9149166790999657,0.9030503982995302
66069344800759.64,0.8173203878687136,0.8605975179740778,0.8489417378983384
68129206905796.22,0.7665929630687026,0.8090525662172114,0.7976169645978248
70253289897305.35,0.7185014527982823,0.7601078293476655,0.748902022593516
72443596007498.9,0.6728821758235408,0.7135998387363998,0.7026333858917191
74702189892733.12,0.6295814190843957,0.6693750918128476,0.6586574951487547
77031200579721.47,0.5884549187422949,0.6272895523979625,0.6168302528143786
79432823472428.22,0.54936741658633,0.5872082425319263,0.5770166054284018
81909322421529.84,0.5121923720738034,0.5490050367065056,0.5390903157313072
84463031858396.7,0.4768122700558547,0.5125632372210382,0.5029344658927276
87096358995607.97,0.4431197436191532,0.4777771788794519,0.46844293214008914
89811786096069.4,0.41101394001701114,0.4445475507002558,0.4355159877585155
92611872812879.38,0.38039819069594744,0.4127782381418671,0.4040573691455197
95499258602143.69,0.3511824549538057,0.3823798772682219,0.3739775300786583
98476665211015.98,0.3232836195962905,0.35327017468014404,0.34519395636823347
101546899243307.86,0.29662660027199206,0.32537507825698175,0.3176323179154093
104712854805089.84,0.27114821539239486,0.2986327837905982,0.2912304396170263
107977516232770.94,0.24680881380027017,0.27300560988346545,0.26595010968848815
111343960906236.19,0.22362141442487543,0.24850948511969903,0.24180647320896168
114815362149688.4,0.20169686844400966,0.22525933345416174,0.21891335726566602
118394992222930.4,0.18123230332152349,0.20345760947756011,0.19747178148889413
122086225405906.94,0.1623737884575606,0.18325711975749442,0.17763273749044506
125892541179416.62,0.14512710501990375,0.16467114627485316,0.15940748659688753
129817527504984.89,0.12940578635947814,0.14762038500841776,0.1427147953106082
133864884206999.4,0.11509271088590692,0.13199402726027892,0.1274421544194052
138038426460288.67,0.10206831986101493,0.11767791909511034,0.1134739541314074
142342088386433.88,0.0902196446370856,0.10456366074917615,0.10070056402778606
146779926762206.75,0.07944246812965759,0.09255085992589318,0.08902056161393898
151356124843620.72,0.0696413947878734,0.08154728893734081,0.07834086597263015
156074996309211.12,0.060729345480557334,0.0714684582250502,0.06857629009766156
160940989326253.62,0.05262692776843353,0.06223705699233874,0.05964896256929851
165958690743756.3,0.04526181027300837,0.053782390598773794,0.051487747968606216
171132830416178.44,0.0385681353416456,0.04603984986293522,0.04402770092183246
176468285661949.8,0.03248597691523028,0.038950420066791086,0.03720956132935778
181970085860998.25,0.026960842973750124,0.03246022994189605,0.030979290816015546
187643417195608.56,0.021943220373631486,0.026520139540028166,0.025287649012883766
193493627539095.4,0.01738816055592704,0.02108536709273094,0.020089809338882086
199526231496888.28,0.013254907227305301,0.016115159006603083,0.015345017612731342
205746915604783.6,0.009506574371055615,0.011572518404038033,0.011016307015243393
212161543689268.22,0.006109906794024779,0.007424044583861979,0.00707031637319078
218776162394955.2,0.003035260738990129,0.0036400959994870256,0.0034774042518989157
225597006884357.72,0.00025775230234459015,0.00019667006557634104,0.00021333278888939565
232630506715362.88,0.049580927261077413,0.05156914696395494,0.051032638217205384
239883291901948.5,0.050345039340738286,0.05442616872427658,0.053326819976845366
247362199163861.75,0.04609784112134269,0.05009287906431449,0.04901679437580109
255074278371135.66,0.04191161930714236,0.04574924471236204,0.044715585311012405
263026799189538.16,0.037894504470104326,0.04155325099889931,0.04056778513699158
271227257933202.97,0.03408963701775274,0.03755967604245693,0.03662504533613416
279683384630908.06,0.030540320608668448,0.03381655838843291,0.03293413193235133
288403150312661.2,0.027276061279258433,0.030356198742955736,0.029526594094543234
297394774523460.2,0.024299451059868984,0.02718325395457609,0.026406533104752827
306666733071318.06,0.021595524757483595,0.024284300888103953,0.02356011081552347
316227766016837.94,0.019143230756910715,0.021639437061804878,0.020967115431693918
326086885911893.56,0.01692081114658718,0.019227784042759474,0.018606431759171243
336253386295163.1,0.014907589177700756,0.01702935117489372,0.016457884426135196
346736850452530.94,0.013084431958835475,0.015025543169066624,0.014502733400351
357547160450620.9,0.01143379583859342,0.013199234489261047,0.012723740573417883
368694506451957.3,0.009939650510073048,0.011534714122188185,0.011105108969593703
380189396320561.25,0.008587372516034116,0.010017594914372744,0.009632387821540807
392042665527015.56,0.007363635434279019,0.0086347165056718,0.008292372071897381
404265487362344.94,0.006256304827541851,0.007374050908862392,0.007073005090892885
416869383470336.4,0.00525434020034283,0.006224613573893601,0.005963287288388746
429866234708227.2,0.004347704421609821,0.005176380821493074,0.0049531913905910396
443268292346008.7,0.0035272805940366743,0.004220214010425433,0.004033584642786688
457088189614875.2,0.0027847964336262247,0.0033477909923442933,0.003196158360448553
471338953615741.0,0.0021127569166375705,0.0025515465437770026,0.0024333662683226854
486034017599022.6,0.001504388370712584,0.0018246274355183125,0.0017383766222971147
501187233627271.44,0.000953607258848926,0.0011608844170975653,0.001105057972638958
516812885632603.0,0.0004550899266618746,0.0005550274971306978,0.0005281115240470997
532925702881200.3,5.601838145747671e-06,4.857361182695237e-06,5.060839526342544e-06
549540873857624.8,0.00048238942163809825,0.0005517206537625357,0.0005331208125788582
566674060581991.9,8.227114327469614e-05,5.996291165350935e-05,6.604961700578988e-05
584341413373516.4,0.009409546487267535,0.009298672584826674,0.009328546366853447
602559586074356.9,0.009080628910706183,0.009056745147581716,0.009063178322249203
621345751748075.2,0.008561822114696702,0.008547250173164595,0.00855117510426062
640717618867553.8,0.00806091309117616,0.008050443375738351,0.008053263360257478
660693448007596.5,0.0075857957653437435,0.007577732579996025,0.007579904366219833
681292069057962.2,0.007137142931202978,0.007130684175560242,0.007132423811655018
702532898973053.5,0.006714215027270479,0.006708907033894837,0.006710336715444843
724435960074989.1,0.006315873147784479,0.006311430706206216,0.006312627254375753
747021898927331.1,0.005940863863867434,0.0059370946342886255,0.005938109855419151
770312005797214.6,0.005587921187258696,0.005584688795975979,0.005585559421956439
794328234724282.1,0.005255808247012689,0.0052530122950965085,0.0052537653680575554
819093224215298.5,0.004943335326329046,0.0049408997015475435,0.004941555722048284
844630318583967.0,0.004649367462330819,0.00464723309325054,0.004647807971956318
870963589956079.6,0.004372827041536598,0.004370947191778277,0.00437145351694576
898117860960694.1,0.004112693859570293,0.00411103095395835,0.004111478846305359
926118728128793.8,0.003868003855941673,0.0038665272715950076,0.0038669249792643696
954992586021436.9,0.0036378471550267285,0.0036365316429367443,0.003636885966639445
984766652110159.9,0.0034213657596101027,0.0034201902919911154,0.0034205068954686326
1015468992433082.8,0.003217751083600042,0.00321669799420458,0.0032169816357818706
1047128548050898.5,0.003026241440865598,0.0030252957720517323,0.0030255504805021473
1079775162327709.4,0.002846119560078587,0.0028452685597967504,0.0028454977698266293
1113439609062361.9,0.002676710162719437,0.0026759428919118236,0.002676149549905852
1148153621496884.0,0.002517377626312243,0.002516684648876209,0.002516871296404475
1183949922229304.0,0.002367523745104505,0.002366896880461325,0.002367065720923878
1220862254059069.2,0.0022265855941387648,0.002226017717873023,0.0022261706701968043
1258925411794166.2,0.002094033498685608,0.0020935183805154,0.002093657122796279
1298175275049849.0,0.0019693691084722246,0.001968901279508439,0.001969027284764364
1338648842069994.0,0.0018521235745354728,0.001851698217734493,0.0018518127834115956
1380384264602886.8,0.001741855825532665,0.0017414686846718317,0.0017415729571615076
1423420883864338.8,0.001638150939748063,0.0016377982433109014,0.0016378932384510088
1467799267622067.5,0.0015406186087004348,0.0015402970058522323,0.0015403836261718117
1513561248436207.2,0.0014488916880975855,0.0014485981945332532,0.001448677243838186
1560749963092111.5,0.0013626248318414891,0.0013623567837463416,0.0013624289795198291
1609409893262536.0,0.0012814932048321613,0.0012812482195513552,0.0012813142035474501
1659586907437563.0,0.0012051912704076056,0.0012049672126950063,0.0012050275600293467
1711328304161784.5,0.0011334316483874226,0.0011332266013206454,0.0011332818283043729
1764682856619498.0,0.0010659440398347812,0.0010657562796528267,0.0010658068505699698
1819700858609982.5,0.0010024742148144624,0.001002302189069249,0.0010023485220615217
1876434171956085.8,0.0009427830595916501,0.0009426253681119286,0.0009426678403060242
1934936275390954.2,0.0008866456798900526,0.0008865010581430878,0.0008865400101321423
1995262314968882.8,0.0008338505569941551,0.0008337178614999529,0.0008337536012721642
2057469156047835.8,0.0007841987536496636,0.000784076949159487,0.0007841097555515293
2121615436892682.2,0.000737503166876096,0.0007373913150729844,0.0007374214408134756
2187761623949551.8,0.0006935878249657679,0.0006934850744837196,0.0006935127488815127
2255970068843577.0,0.0006522872263469031,0.000652192804029961,0.000652218235328475
2326305067153628.5,0.000613445717642046,0.0006133589209051525,0.0006133822983399491
2398832919019485.0,0.0005769169078006988,0.0005768370976757108,0.0005768585933475197
2473621991638627.5,0.0005425631175090624,0.0005424897124761301,0.0005425094830123407
2550742783711356.5,0.0005102548609324556,0.0005101873313237565,0.0005102055193857444
2630267991895381.5,0.0004798703582439745,0.00047980822115747533,0.0004798249568105531
2712272579332029.5,0.0004512950773074319,0.0004512378920453504,0.0004512532939873915
2796833846309080.5,0.00042442130263197777,0.0004243686666244887,0.0004243828432838542
2884031503126611.5,0.00039914772994424977,0.0003990992751103026,0.0003991123256260348
2973947745234601.5,0.00037537908484604253,0.00037533447434371097,0.00037534648944080823
3066667330713180.5,0.00035302576412471655,0.00035298468944689235,0.0003529957522185687
3162277660168379.5,0.0003320034983714187,0.00033196567674678414,0.00033197586335450267
3260868859118935.5,0.0003122330346441852,0.0003121982067079593,0.00031220758700880485
3362533862951631.5,0.0002936398379874962,0.00029360776569050344,0.0002936164038003636
3467368504525309.5,0.00027615381069072165,0.0002761242754191662,0.0002761322302191606
3575471604506209.0,0.00025970902823393386,0.0002596818291156804,0.00025968915470835476
3686945064519573.5,0.00024424349093152704,0.00024421844330767446,0.0002442251894286742
3801893963205612.5,0.00022969889034278452,0.00022967582438603024,0.0002296820367762368
3920426655270156.0,0.00021602038957308235,0.00021599914903662807,0.00021600486977913424
4042654873623433.0,0.0002031564166416467,0.00020313685772448316,0.00020314212555022222
4168693834703363.5,0.00019105847014007558,0.0001910404604562219,0.0001910453110215972
4298662347082272.0,0.00017968093645175323,0.00017966435409251855,0.00017966882023197762
4432682923460086.5,0.00016898091784550942,0.00016896565052515114,0.00016896976248129754
4570881896148752.0,0.00015891807079761216,0.0001589040150739857,0.00015890780070749192
4713389536157410.0,0.0001494544539341348,0.00014944151449683258,0.00014944499947817507
4860340175990226.0,0.0001405543850219986,0.00014054247404139632,0.00014054568202618534
5011872336272715.0,0.00013218430647086272,0.000132173343002246,0.00013217629579171994
5168128856326030.0,0.00012431265883969272,0.00012430256827725692,0.00012430528596534316
5329257028812003.0,0.00011690976187211409,0.00011690047544821928,0.00011690297655640597
5495408738576248.0,0.00010994770261270875,0.00010993915693825519,0.00010994145853938738
5666740605819919.0,0.00010340023018307513,0.00010339236682529418,0.00010339448465729216
5843414133735163.0,9.72426568215668e-05,9.723542191593558e-05,9.723737048632229e-05
6025595860743569.0,9.145176481398542e-05,9.144510870728507e-05,9.144690138932499e-05
6213457517480752.0,8.600571896474808e-05,8.599959588659097e-05,8.600124500776117e-05
6407176188675537.0,8.088398427883767e-05,8.087835203924465e-05,8.08798689626893e-05
6606934480075964.0,7.606724854447526e-05,7.606206825532495e-05,7.60634634548801e-05
6812920690579622.0,7.153734952482159e-05,7.153258534318917e-05,7.153386847251173e-05
7025328989730535.0,6.727720648442682e-05,6.727282537601068e-05,6.727400533229679e-05
7244359600749891.0,6.327075579238573e-05,6.326672731339033e-05,6.326781229612274e-05
7470218989273312.0,5.95028903596111e-05,5.9499186455599706e-05,5.9500184020724483e-05
7703120057972147.0,5.595940268190501e-05,5.595599750225219e-05,5.595691461215362e-05
7943282347242822.0,5.262693127431565e-05,5.262380100103933e-05,5.262464407064194e-05
8190932242152985.0,4.9492910294780966e-05,4.949003298460736e-05,4.949080792391366e-05
8446303185839670.0,4.654552216726595e-05,4.654287760588876e-05,4.654358985923261e-05
8709635899560796.0,4.3773653025810336e-05,4.3771222593401046e-05,4.377187717567064e-05
8981178609606941.0,4.116685081156885e-05,4.116461735867017e-05,4.1165218888734425e-05
