,nu_e,nu_mu,nu_tau
10154689924330.785,32.402552342064034,32.4416365756168,32.431110673605275
10471285480508.984,30.47921560874429,30.518304537095027,30.507777369982378
10797751623277.094,28.670423505245914,28.709516843645247,28.698988488115738
11134396090623.62,26.969354280362,27.00845175018555,26.997922281272963
11481536214968.84,25.369592453452256,25.40869378186959,25.398163273046364
11839499222293.041,23.865104618886907,23.90420953852891,23.89367806179569
12208622540590.693,22.450216691455523,22.4893249400797,22.47879256605544
12589254117941.662,21.11959250692833,21.15870382708036,21.14817062509342
12981752750498.49,19.86821369705856,19.907327835729383,19.896793873909868
13386488420699.94,18.691360763128074,18.730477471404832,18.719942816778527
13803842646028.867,17.584595276660007,17.623714309369504,17.61317902795387
14234208838643.387,16.54374314016031,16.58286425550339,16.572328412405938
14677992676220.676,15.564878844766907,15.6040018039419,15.593465463461571
15135612484362.072,14.644310665428726,14.683435232241937,14.672898457973925
15607499630921.113,13.77856673778052,13.817692678241613,13.807155533186254
16094098932625.361,12.964381964204362,13.003509046103979,12.992971592780414
16595869074375.63,12.198685699691506,12.237813692158383,12.22727599272375
17113283041617.775,11.478590171066433,11.517718844100816,11.507180960475793
17646828566194.98,10.801379585890341,10.840508709869882,10.829970703871638
18197008586099.824,10.164499889973609,10.203629235127796,10.193091168611405
18764341719560.855,9.5655491348646,9.604678470712788,9.594140405722433
19349362753909.543,9.002268418985064,9.041397513732589,9.030859512664033
19952623149688.83,8.472533368246573,8.511661988132778,8.501124113908764
20574691560478.36,7.9743461240152325,8.013474032605918,8.00293634886652
21216154368926.824,7.505827808205284,7.5449547656210285,7.534417336931243
21877616239495.52,7.065211437082597,7.104337199153008,7.093800091230275
22559700688435.77,6.650835257046906,6.6899595743789915,6.679422854343798
23263050671536.285,6.261136477257874,6.30025909420471,6.289722830858018
23988329190194.95,5.894645375460399,5.933766028973653,5.923230293105556
24736219916386.176,5.549979754774109,5.589098173120805,5.578563037855697
25507427837113.566,5.2258397305333375,5.264955631853429,5.2544211730379935
26302679918953.816,4.921002827504608,4.960115918181106,4.949582214822704
27122725793320.297,4.634319368980992,4.673429341788383,4.662896476553081
27968338463090.805,4.364708140344522,4.403814672333787,4.393282732115223
28840315031266.117,4.111152310723609,4.150255060792551,4.139724137365434
29739477452346.016,3.872695597335291,3.911794203420926,3.9012643941961853
30666673307131.805,3.6484386580140766,3.687532733828228,3.677004142731025
31622776601683.793,3.43753569827545,3.4766248294846793,3.466097567981863
32608688591189.355,3.2391912800575717,3.278275019782063,3.2677492080928054
33625338629516.316,3.052657320028286,3.0917351834998184,3.0812109520324316
34673685045253.098,2.8772302660266047,2.9163017241988296,2.905779215269374
35754716045062.086,2.712248440845598,2.751312912687136,2.7407922825923206
36869450645195.734,2.55708954313584,2.596146386250029,2.5856278077902033
38018939632056.125,2.4111682957201683,2.450216794815014,2.439700460395424
39204266552701.555,2.273934232045941,2.3129735846073243,2.302459710091658
40426548736234.49,2.1448696118396913,2.1838989101155963,2.173387739671847
41686938347033.47,2.0234874572327652,2.062505665275361,2.051997477551135
42986623470822.72,1.9093297006355492,1.9483356246063652,1.9378307407164845
44326829234600.87,1.801965435332204,1.8409576844407871,1.8304564784746507
45708818961487.516,1.7009892589352615,1.7399661930590975,1.7294691061711571
47133895361574.09,1.606019698068867,1.6449793559374377,1.6344869156666832
48603401759902.26,1.5166976991115644,1.555637697257675,1.5451505447122562
50118723362727.15,1.4326851627709867,1.4716025489182696,1.4611214782198745
51681288563260.3,1.3536634857178695,1.392554518046217,1.382080535719672
53292570288120.03,1.2793320408141275,1.3181918401744346,1.3077262587277074
54954087385762.484,1.2094064527756032,1.2482284224058255,1.23777301648385
56667406058199.195,1.1436163306047538,1.1823911129038045,1.171948400053549
