,nu_e,nu_mu,nu_tau
10154689924330.785,32.54094001620155,32.63044747954163,32.60634193940876
10471285480508.984,30.61753764593562,30.707025724967263,30.682925404035583
10797751623277.094,28.808681858993644,28.898150982061686,28.874055764974194
11134396090623.62,27.10755084102884,27.197001419382005,27.172911195384295
11481536214968.84,25.50772905002474,25.59716147812209,25.573076140979772
11839499222293.041,24.003183020672758,24.092597676463612,24.068517124386876
12208622540590.693,22.58823860971597,22.6776358548929,22.65355999046833
12589254117941.662,21.25755959644562,21.34693977666929,21.32286850679926
12981752750498.49,20.006127557639285,20.095491002734114,20.071424238584
13386488420699.94,18.829222941042566,18.91856996516168,18.894507622115388
13803842646028.867,17.722407266017896,17.81173816777615,17.787680165400182
14234208838643.387,16.681506384222104,16.77082144679494,16.74676770881168
14677992676220.676,15.702594737191388,15.791894228377739,15.767844682648406
15135612484362.072,14.78198055145544,14.871264723702122,14.847219302220072
15607499630921.113,13.916191915346637,14.005461005731533,13.981419644626657
16094098932625.361,13.101963684994612,13.191217915165279,13.167180554720382
16595869074375.63,12.336225170119901,12.425464746184254,12.401431330864321
17113283041617.775,11.616088553187703,11.705313665552136,11.681284144047748
17646828566194.98,10.938837998238817,11.028048821389081,11.004023146675202
18197008586099.824,10.30191940832685,10.391116100546077,10.367094229957763
18764341719560.855,9.702930792928186,9.792113495945394,9.768095391272187
19349362753909.543,9.13961320899462,9.228782047556114,9.204767675157163
19952623149688.83,8.609842241482278,8.698997322837368,8.674986653779602
20574691560478.36,8.111619991223016,8.200761404513472,8.176754414735642
21216154368926.824,7.643067539917975,7.732195355459507,7.708192025965266
21877616239495.52,7.202417863833233,7.291532132274817,7.267532449358642
22559700688435.77,6.788009169464748,6.877109920809348,6.853113876319719
23263050671536.285,6.3982786260360704,6.487365868503227,6.463373460148327
23988329190194.95,6.031756471182405,6.120830189889734,6.096841421591829
24736219916386.176,5.687060467583217,5.776120623019083,5.7521355053250405
25507427837113.566,5.362890689627041,5.451937215881808,5.427955766438518
26302679918953.816,5.058024620432009,5.1470574231481345,5.123079667253512
27122725793320.297,4.771312540716902,4.86033149471021,4.836357465952592
27968338463090.805,4.50167319210916,4.590678138603315,4.566707879604832
28840315031266.117,4.248089698509667,4.337080441912649,4.313114005195718
29739477452346.016,4.0096057300965935,4.098582034231918,4.074619483232306
30666673307131.805,3.7853218954596457,3.8742834791437852,3.8503248893994098
31622776601683.793,3.5743923482000977,3.6633388800306026,3.63938434058252
32608688591189.355,3.3760215951234698,3.464952687306843,3.4410023023583394
33625338629516.316,3.1894614938914687,3.278376694893627,3.2544305857858165
34673685045253.098,3.0140084286739595,3.1029072144138707,3.078965521992891
35754716045062.086,2.8490006529724012,2.9378824161964996,2.9139453036697214
36869450645195.734,2.693815789345016,2.782679826706007,2.7587474831153234
38018939632056.125,2.547868476259017,2.6367139724650026,2.612786616947635
39204266552701.555,2.410608152705832,2.499434160883748,2.475512047950679
40426548736234.49,2.281516971518593,2.3703223886179794,2.3464058147656095
41686938347033.47,2.160107832480466,2.248891368078337,2.2249806801740277
42986623470822.72,2.045922526241062,2.134682662414489,2.110778268483291
44326829234600.87,1.9385299796238853,2.0272649184927967,2.0033673018187517
45708818961487.516,1.8375245918694159,1.9262321857363183,1.9023419236422998
47133895361574.09,1.7425246492446784,1.83120230553162,1.8073200949347554
48603401759902.26,1.6531708013145854,1.7418153498924016,1.7179420429704795
50118723362727.15,1.5691245740296629,1.657732076410462,1.6338687318994292
51681288563260.3,1.4900668781602175,1.5786323429241431,1.5547803026277416
53292570288120.03,1.4156964356569577,1.504213374600274,1.4803743827306028
54954087385762.484,1.3457279623621652,1.4341876579242605,1.4103640580888481
56667406058199.195,1.279889726671858,1.368279930210972,1.3444750154835023
58434141337351.87,1.2179194484080273,1.3062218224506372,1.2824405233350453
60255958607435.69,1.15955510738099,1.247739411669599,1.223989860282315
62134575174807.52,1.104505336526049,1.1925127561065723,1.1688107735669484
64071761886755.375,1.0522791328637446,1.1399480180787456,1.1163371249116631
66069344800759.64,0.995664401450143,1.0829440184599184,1.0594378619283331
68129206905796.22,0.9416791094712096,1.0283870570110398,1.0050347811169917
70253289897305.35,0.8902131615029129,0.9761925528302007,0.9530364217577609
72443596007498.9,0.8411059698749607,0.9262057304888208,0.9032864416385442
74702189892733.12,0.7942039522098209,0.8782775643280525,0.855634586803599
