,nu_e,nu_mu,nu_tau
10154689924330.785,32.54493368057614,32.66816925689738,32.63498025931194
10471285480508.984,30.626768080689907,30.749969064704736,30.716789380031013
10797751623277.094,28.82283517726142,28.946002113323456,28.91283159490024
11134396090623.62,27.12633182527941,27.249465222066277,27.21630373283347
11481536214968.84,25.530860036082935,25.653960366267377,25.620807778854086
11839499222293.041,24.030402847867368,24.15347054765283,24.120326744501906
12208622540590.693,22.619301633172523,22.74233710167927,22.709201975212025
12589254117941.662,21.29223475777023,21.41523835625506,21.382111809080733
12981752750498.49,20.04419751045509,20.167169561344853,20.134051506520116
13386488420699.94,18.87048322804117,18.993424013757128,18.96031437510183
13803842646028.867,17.766665544375492,17.88957530592132,17.856474018397783
14234208838643.387,16.72858169640298,16.85146063168379,16.81836764184839
14677992676220.676,15.752316824321724,15.875165086156057,15.84208035269334
15135612484362.072,14.834189206597157,14.957006900375905,14.92393039472763
15607499630921.113,13.97073637413404,14.093523555071325,14.06045526217516
16094098932625.361,13.158702051216043,13.281458721125428,13.248398640281266
16595869074375.63,12.395023873931246,12.51774997744711,12.484698123332482
17113283041617.775,11.676821839732442,11.799517259877568,11.766473663738811
17646828566194.98,11.001387444519933,11.124051997498619,11.0910167085502
18197008586099.824,10.366173466224536,10.488806895291246,10.455779982363563
18764341719560.855,9.768784356280937,9.891386324497358,9.858367877983309
19349362753909.543,9.206967202652892,9.329537284297702,9.296527418461377
19952623149688.83,8.678603230195437,8.801140900527564,8.768139756255474
20574691560478.36,8.181699806117068,8.3042044291076,8.271212177205888
21216154368926.824,7.714382920146706,7.8368537336802735,7.803870578852079
21877616239495.52,7.274890110707607,7.397326208596743,7.36435239427615
22559700688435.77,6.8615638099429965,6.983964119880641,6.950999934158401
23263050671536.285,6.472845081821135,6.595208338087671,6.562254121046819
23988329190194.95,6.107267728718023,6.2295924380149525,6.196648590913924
24736219916386.176,5.763452742790458,5.885737140917744,5.852804137834694
25507427837113.566,5.440103078990842,5.5623450750997385,5.529423477916646
26302679918953.816,5.135998726530777,5.258195830157069,5.225286308172759
27122725793320.297,4.849992054593247,4.972141278238814,4.939244634355338
27968338463090.805,4.581003405333119,4.70310113133183,4.670218337842892
28840315031266.117,4.328016901100902,4.450058694548865,4.417190943429855
29739477452346.016,4.090076419802989,4.212056756729512,4.179205532718911
30666673307131.805,3.866281663918291,3.988193519635123,3.955360710918233
31622776601683.793,3.655784182859098,3.7776183752908907,3.7448064500880216
