,nu_e,nu_mu,nu_tau
10471285480508.984,30.350669120160227,30.476831550611287,30.442854376516994
11481536214968.84,25.302586483470428,25.42865273452916,25.394701446672244
12589254117941.662,21.10374171648126,21.229715156364037,21.19578884736301
13803842646028.867,17.61126131776685,17.737144291530964,17.703242329236563
15135612484362.072,14.706307612636389,14.832101326342642,14.798223384955865
16595869074375.63,12.29003484297856,12.415739172103379,12.381885283653823
18197008586099.824,10.280225466633087,10.405838646463678,10.372009284006431
19952623149688.83,8.608492138391997,8.734010259688505,8.70020647283543
21877616239495.52,7.217950016041463,7.343366177047541,7.3095898198517935
23988329190194.95,6.061279840361317,6.186582639552602,6.152836775561912
26302679918953.816,5.09911495318462,5.224285569689727,5.1905752565533945
28840315031266.117,4.298694374571618,4.423700108825836,4.390034134261777
31622776601683.793,3.632723243781001,3.7574996970760193,3.723895368885567
34673685045253.098,3.0783067839834772,3.202681742543377,3.1691853589334116
38018939632056.125,2.60921945639815,2.732546125797081,2.699331911761007
41686938347033.47,2.2140741692623562,2.335676739225599,2.3029267220251803
45708818961487.516,1.8787150721923684,1.99775966506594,1.965698461776765
50118723362727.15,1.5930696062806071,1.7086687735880397,1.6775354369792774
54954087385762.484,1.3501946996790046,1.4615393031341029,1.4315517814788878
60255958607435.69,1.1428941485311073,1.2492202501317524,1.2205843086209052
66069344800759.64,0.9648770425425505,1.0654485595340626,1.0383624549388075
72443596007498.9,0.8108989638337507,0.9050020442451187,0.8796580419705629
79432823472428.22,0.6766468083826956,0.7635987923988008,0.7401807538905965
87096358995607.97,0.5586232255005408,0.6377921150709367,0.6164702539582831
95499258602143.69,0.4539694387146731,0.5247734024667987,0.5057044190211117
104712854805089.84,0.3603714590748287,0.42227558381974595,0.40560354269021404
114815362149688.4,0.27651988472240524,0.32908124686213686,0.3149254408538518
125892541179416.62,0.205747621919593,0.24891647516387344,0.23729029999860635
138038426460288.67,0.14947214745896853,0.1836367801866862,0.17443565228625302
151356124843620.72,0.10484274280041617,0.13061993642127653,0.12367773316406132
165958690743756.3,0.06933447080783495,0.08746280761435309,0.08258060421451613
