,nu_e,nu_mu,nu_tau
10471285480508.984,30.3506854672202,30.476853852405384,30.442875074618257
11481536214968.84,25.30260282965185,25.42867503497754,25.394722143553153
12589254117941.662,21.103758061683887,21.229737455307315,21.195809542880035
13803842646028.867,17.61127766186811,17.737166588773967,17.703263023214
15135612484362.072,14.70632395548364,14.832123621642149,14.798244077174777
16595869074375.63,12.29005118437808,12.415761465150304,12.381905973836055
18197008586099.824,10.28024180633363,10.405860936856598,10.372029971790823
19952623149688.83,8.608508476059434,8.734032546892486,8.70022715774089
21877616239495.52,7.217966351217851,7.343388460327352,7.309610501217426
23988329190194.95,6.061296172394339,6.18660491785687,6.15285745244332
26302679918953.816,5.099131281095016,5.224307841431683,5.190595927526651
28840315031266.117,4.2987106967691275,4.4237223714098475,4.390054797000714
31622776601683.793,3.6327395573082715,3.7575219456280435,3.7239160190298035
34673685045253.098,3.0783230813702116,3.202703964620272,3.1692059853725008
38018939632056.125,2.6092356181840874,2.7325681592102375,2.699352363815965
41686938347033.47,2.2140900545892377,2.3356983927310235,2.3029468220243285
45708818961487.516,1.878730517611968,1.9977807169336352,1.9657180036899549
50118723362727.15,1.5930844457489186,1.7086889985957785,1.677554211525735
54954087385762.484,1.3502087890070709,1.4615585055086404,1.4315696067805965
60255958607435.69,1.142907367443745,1.249238266393431,1.2206010328356571
66069344800759.64,0.9648892931618047,1.0654652565118021,1.0383779544015996
72443596007498.9,0.8109101692300846,0.9050173171716047,0.8796722194118045
79432823472428.22,0.6766569124550048,0.7636125647940067,0.7401935383188248
87096358995607.97,0.5586321945180837,0.6378043408648408,0.6164816026265234
95499258602143.69,0.4539772613840605,0.5247840661176914,0.5057143175314324
104712854805089.84,0.3603781449296499,0.42228469814925684,0.40561200297821937
114815362149688.4,0.2765254631680954,0.3290888517828846,0.31493250000185413
125892541179416.62,0.20575214791575536,0.248922645412926,0.23729602741662587
138038426460288.67,0.14947569783859682,0.18364162032170744,0.1744401450645432
151356124843620.72,0.10484540538563353,0.13062356601024633,0.12368110232028211
165958690743756.3,0.06933633703822276,0.08746535119732987,0.08258296537369937
181970085860998.25,0.04099325807905597,0.05226655833825861,0.04923055569784632
199526231496888.28,0.01831791716467417,0.02354116059444801,0.022134557110322542
218776162394955.2,0.00017185031505641493,0.00013793434931419802,0.00014718666142144566
239883291901948.5,0.05703874712751969,0.06200348050710305,0.06066404345419054
263026799189538.16,0.049658527177075584,0.05667629809224227,0.054786024180145804
288403150312661.2,0.0375982843777349,0.04360422795485057,0.04198652926787866
316227766016837.94,0.02754418477991132,0.03249768153763698,0.031163471427824174
346736850452530.94,0.01969309865534816,0.023619354533305364,0.022561837569181783
380189396320561.25,0.01359639245325959,0.01655825740064401,0.015760500618183317
416869383470336.4,0.008855423570181984,0.010935542905230413,0.010375282098636267
457088189614875.2,0.0051596206776918585,0.0064491866826813715,0.0061018565162439704
501187233627271.44,0.0022698238672074506,0.00286171692171921,0.002702299105678229
549540873857624.8,1.9025306766540774e-05,1.3947146398765934e-05,1.533280658072711e-05
602559586074356.9,0.008781598020830159,0.008684939006280203,0.008710986546365516
660693448007596.5,0.007514260456801428,0.007506462696800616,0.007508564022896848
724435960074989.1,0.006258125875687342,0.006254452553872693,0.006255442532169403
794328234724282.1,0.005207978318187384,0.005205861042881979,0.005206431698397636
870963589956079.6,0.004333030046745548,0.004331692161672724,0.004332052771642208
954992586021436.9,0.0036046949551515523,0.0036038018198653043,0.00360404256222926
1047128548050898.5,0.0029986159866339703,0.002997997019868172,0.002998163865194729
1148153621496884.0,0.0024943567396663096,0.0024939158421245413,0.0024940346900539324
1258925411794166.2,0.0020748508427083506,0.002074530085195396,0.0020746165490050533
1380384264602886.8,0.001725872886502265,0.0017256355619356385,0.0017256995355148341
1513561248436207.2,0.0014355759886062404,0.0014353979339476741,0.0014354459303797832
1659586907437563.0,0.0011940986811137596,0.0011939635135146173,0.0011939999489091232
1819700858609982.5,0.0009932343307377282,0.0009931306806992678,0.0009931586198737635
1995262314968882.8,0.0008261545150969069,0.0008260743420663983,0.0008260959525244048
2187761623949551.8,0.0006871781268463268,0.0006871156532514389,0.0006871324924910665
2398832919019485.0,0.0005715789101174876,0.0005715299266577102,0.0005715431294228188
2630267991895381.5,0.00047542517284997876,0.0004753865825727265,0.00047539698374852557
2884031503126611.5,0.0003954462975272568,0.00039541579981468365,0.00039542401961160006
3162277660168379.5,0.0003289216146503696,0.0003288974724444171,0.0003289039791429491
3467368504525309.5,0.0002735879762327652,0.00027356885504433814,0.0002735740083921968
3801893963205612.5,0.00022756285866568158,0.00022754771856844285,0.00022755179889744214
4168693834703363.5,0.00018928037517763611,0.00018926839733385753,0.00018927162536917655
4570881896148752.0,0.00015743803425792685,0.00015742856946819242,0.00015743112020070825
5011872336272715.0,0.0001309524434903488,0.00013094497495037474,0.0001309469876787042
5495408738576248.0,0.00010892245874466945,0.00010891657424306926,0.00010891816007000218
6025595860743569.0,9.059852905874866e-05,9.059389967786823e-05,9.059514725319824e-05
6606934480075964.0,7.535719654189657e-05,7.53535600013809e-05,7.535454001272976e-05
7244359600749891.0,6.267988503420639e-05,6.267703247375674e-05,6.267780120994574e-05
7943282347242822.0,5.2135256560203415e-05,5.213302195089775e-05,5.2133624156484333e-05
8709635899560796.0,4.336453566867324e-05,4.336278728881782e-05,4.336325846192871e-05
9549925860214368.0,3.606930252103961e-05,3.6067936087284136e-05,3.606830433115223e-05
1.0471285480508986e+16,3.000133945519879e-05,3.0000272580424673e-05,3.0000560097219754e-05
1.1481536214968794e+16,2.495418562736435e-05,2.4953353352873027e-05,2.495357764790645e-05
1.2589254117941714e+16,2.075611240541061e-05,2.0755463609311054e-05,2.0755638459035173e-05
1.3803842646028866e+16,1.7264280499850743e-05,1.7263775019259863e-05,1.726391124685114e-05
1.5135612484362072e+16,1.435988002496026e-05,1.4359486357326394e-05,1.4359592452169713e-05
1.6595869074375562e+16,1.194408813039324e-05,1.1943781602735766e-05,1.1943864213792914e-05
1.819700858609975e+16,9.934706664340503e-06,9.934467979226914e-06,9.934532306869895e-06
1.9952623149688828e+16,8.26336546728113e-06,8.263179550826374e-06,8.263229657275903e-06
2.187761623949552e+16,6.873196142638348e-06,6.873051233984712e-06,6.873090288672376e-06
2.398832919019485e+16,5.716897157567245e-06,5.716784090721356e-06,5.7168145638151545e-06
2.6302679918953924e+16,4.755124442434289e-06,4.755036080951021e-06,4.755059895692508e-06
2.8840315031266116e+16,3.955152731981184e-06,3.955083524749385e-06,3.955102177157355e-06
3.162277660168379e+16,3.2897621029256175e-06,3.289707735747187e-06,3.2897223885081346e-06
3.4673685045253096e+16,2.7363118242268067e-06,2.7362689468922105e-06,2.736280502906929e-06
3.801893963205597e+16,2.275970009763592e-06,2.275936022628176e-06,2.2759451825248854e-06
4.168693834703363e+16,1.8930728634418118e-06,1.8930457507255441e-06,1.8930530577825267e-06
4.570881896148752e+16,1.574591716245135e-06,1.5745699160086697e-06,1.5745757911937485e-06
5.0118723362727144e+16,1.3096897219256554e-06,1.3096720247833527e-06,1.3096767940495616e-06
5.49540873857627e+16,1.089353128550104e-06,1.0893385988805678e-06,1.0893425143992976e-06
6.025595860743594e+16,9.060845804018491e-07,9.060724951728308e-07,9.060757518203007e-07
6.606934480075964e+16,7.536480152528398e-07,7.536378166654558e-07,7.536405647851397e-07
