,nu_e,nu_mu,nu_tau
10154689924330.785,32.54683739251448,32.67076200815055,32.63738742866329
10471285480508.984,30.62863107932713,30.75250596770626,30.719144776219856
10797751623277.094,28.824657718775597,28.94848350267398,28.915135531359866
11134396090623.62,27.128114140881905,27.251891397440165,27.21855649075041
11481536214968.84,25.5326023319051,25.656331592202108,25.62300960698353
11839499222293.041,24.03210530480852,24.155787053281443,24.1224778589311
12208622540590.693,22.620964406706417,22.744599080401255,22.711302559067434
12589254117941.662,21.29385797770744,21.417445965341898,21.384162012175636
12981752750498.49,20.04578128065814,20.1693229214756,20.13605144493829
13386488420699.94,18.872027626089242,18.995523208478662,18.9622641307126
13803842646028.867,17.76817062117361,17.89162038102603,17.85837363829578
14234208838643.387,16.730047475731684,16.85345159449831,16.82021713771226
14677992676220.676,15.753743302320695,15.877101904731381,15.84387970005457
15135612484362.072,14.835576351176176,14.95888950256878,14.925679532140347
15607499630921.113,13.972084124303096,14.095351827504714,14.062154090275751
16094098932625.361,13.160010316324978,13.283232508013896,13.250047020724885
16595869074375.63,12.3962925328071,12.519469079268967,12.486295877590035
17113283041617.775,11.678050739701131,11.801181431874541,11.768020571736677
17646828566194.98,11.00257640029526,11.125660947977455,11.092512507129472
18197008586099.824,10.367322258644457,10.490360283697864,10.457224363531889
18764341719560.855,9.769892730866488,9.892883759227338,9.859760486926255
19349362753909.543,9.208034867959716,9.330978320199243,9.297867851273153
19952623149688.83,8.679629855920004,8.802525036041617,8.769427557338407
20574691560478.36,8.182685020911888,8.305531102978822,8.272446836277807
21216154368926.824,7.715326309085251,7.838122321153467,7.805051527483322
21877616239495.52,7.275791212324842,7.398536016992212,7.365479001858353
22559700688435.77,6.862422112756094,6.985114383412334,6.9520715031798375
23263050671536.285,6.473660020206693,6.5962982117487226,6.563269881512862
23988329190194.95,6.108038677982544,6.230620990300693,6.197607693700623
24736219916386.176,5.764179013218206,5.886703345084789,5.85370564669709
25507427837113.566,5.44078390857545,5.563247798554826,5.530266359775853
26302679918953.816,5.136633271987885,5.259033821424736,5.226069421170818
27122725793320.297,4.8505793800899974,4.972913150746387,4.939966712969528
27968338463090.805,4.581542468126558,4.7038053429394155,4.6708779740585396
28840315031266.117,4.328506532904821,4.4506935212912975,4.417786562533847
29739477452346.016,4.09051530210943,4.212620258533658,4.179735361602701
30666673307131.805,3.8666682945406268,3.988683494711035,3.9558227357434856
31622776601683.793,3.6561168293744415,3.778032298323149,3.745198358593391
32608688591189.355,3.458059673882807,3.5798620471605984,3.54705851941165
33625338629516.316,3.271737530578538,3.3934079430293007,3.36063989955767
34673685045253.098,3.0964238583193415,3.2179335022858173,3.1852086907406187
35754716045062.086,2.931401597016283,3.0527004299423934,3.02003231638232
36869450645195.734,2.775854367416413,2.896832973788895,2.8642510485535273
38018939632056.125,2.627335237894526,2.7480254118148544,2.7155210594917065
39204266552701.555,2.48710662558353,2.60743433061379,2.575027497817331
40426548736234.49,2.3546303445193257,2.4745221837596256,2.4422326411992072
41686938347033.47,2.2293832114895005,2.3487624265433333,2.3166108503858736
42986623470822.72,2.110874954640968,2.2296615707767447,2.1976695040372443
44326829234600.87,1.9986602672751184,2.1167718329997913,2.084961486647222
45708818961487.516,1.8923583836865692,2.0097106204806092,1.9781046986525488
47133895361574.09,1.7916627257460083,1.908169517942233,1.876791220773014
48603401759902.26,1.6963110983131224,1.8118846776364537,1.7807576512287635
50118723362727.15,1.6060398091004322,1.720591803174291,1.6897398565064012
51681288563260.3,1.5205704546695882,1.6340129031306614,1.6034597338518801
53292570288120.03,1.4396205808271214,1.5518663938517516,1.521635464573642
54954087385762.484,1.362914438588548,1.4738774797786305,1.44399199571632
56667406058199.195,1.290188302086693,1.3997833209837975,1.3702662481614654
58434141337351.87,1.2211922846079617,1.3293348065960617,1.300208901546084
60255958607435.69,1.1556905663199093,1.2622967793472917,1.2335846196676963
62134575174807.52,1.0934609955876442,1.1984476463061107,1.1701716586791329
64071761886755.375,1.0342944715951037,1.1375787745143695,1.1097612592165589
66069344800759.64,0.9779942711514706,1.0794938319389107,1.0521569835389946
68129206905796.22,0.9243753834563582,1.0240081373932917,0.9971740613664433
70253289897305.35,0.8732638782684058,0.9709480458150153,0.9446387705491117
72443596007498.9,0.824496319604254,0.920150382963919,0.894387866111799
74702189892733.12,0.7779192356999274,0.8714619440786229,0.8462680711867472
77031200579721.47,0.7333886652399562,0.8247390848761765,0.8001356559654613
79432823472428.22,0.6907698336730903,0.7798474803989218,0.7558561743373902
81909322421529.84,0.6499371470923448,0.7366623090874898,0.713304596769888
84463031858396.7,0.6107754935591725,0.6950701607449519,0.6723670547758411
87096358995607.97,0.5731832170383067,0.6549730470834341,0.6329445716561333
89811786096069.4,0.537064686797109,0.6162786213410578,0.5949439154091978
92611872812879.38,0.5023252647319884,0.5788935499775447,0.5582714010995601
95499258602143.69,0.46887702414366084,0.5427313392992577,0.5228401490017159
98476665211015.98,0.4366392222358708,0.5077129233561773,0.48857064150006313
101546899243307.86,0.4055394559048954,0.47376791334845264,0.455391947306212
104712854805089.84,0.375517703897362,0.4408388416181914,0.4232459111332143
107977516232770.94,0.3465385693619297,0.40889388241317237,0.39209974571012274
111343960906236.19,0.31862223583146465,0.37795880104693946,0.3619777134220711
114815362149688.4,0.2918931507662101,0.34816706789330104,0.33301085479170495
118394992222930.4,0.2665708345235705,0.31975153721653016,0.3054284326521951
122086225405906.94,0.24282876817610755,0.29290217267147156,0.2794159706960283
125892541179416.62,0.22069904163025977,0.26766793217949336,0.25501788295157635
129817527504984.89,0.2001179332384845,0.24400037927508517,0.2321816154996893
133864884206999.4,0.18098764767827574,0.22181495141848387,0.21081904129979911
138038426460288.67,0.16320511382753206,0.20101989990860014,0.19083536182250146
142342088386433.88,0.1466714521057519,0.1815259828037321,0.17213873918530054
146779926762206.75,0.1312944566038757,0.16324915089101,0.15464292719785394
151356124843620.72,0.11698892221223593,0.1461110519695078,0.13826772791262276
156074996309211.12,0.10367635947599833,0.13003890148725503,0.12293882028968323
160940989326253.62,0.09128455866670473,0.11496518514505799,0.10858742547717709
165958690743756.3,0.07974713706190292,0.10082733026707463,0.09514994475077898
171132830416178.44,0.06900310681655,0.08756738543110806,0.08256760903703157
176468285661949.8,0.058996472731978944,0.07513171949385364,0.0707861506633698
181970085860998.25,0.049675861481843886,0.06347074344691242,0.05975550026613488
187643417195608.56,0.04099418250803583,0.052538657664666526,0.049429510787171935
193493627539095.4,0.03290832234254399,0.04229322996138392,0.03976571299444992
199526231496888.28,0.025378879136737975,0.032695618304671326,0.030725114480521946
205746915604783.6,0.018369958138838828,0.02371027550030811,0.022272075014588128
212161543689268.22,0.01184909400115641,0.015305049180064,0.014374358872969322
218776162394955.2,0.0057875557940165545,0.007451908554426486,0.0070037485913694636
225597006884357.72,0.00016261378275240636,0.0001309060928473127,0.00013955271037270034
232630506715362.88,0.06249934712126731,0.06850712486466604,0.0668861653232353
239883291901948.5,0.06405432463927202,0.07303729482409929,0.07061752438533545
247362199163861.75,0.05922866195593671,0.06794407278542401,0.0655965283925648
255074278371135.66,0.0544191765916599,0.06276184659525173,0.060514754168872
263026799189538.16,0.0497600476206607,0.057697008376361665,0.05555921931441776
271227257933202.97,0.04530203940254334,0.05281753405865666,0.05079328074845544
279683384630908.06,0.04109460085321055,0.04818077554250241,0.04627216761195074
288403150312661.2,0.03717330540061557,0.04382766780574151,0.04203537320945855
297394774523460.2,0.03354573049214276,0.03976983456684975,0.03809343254213042
306666733071318.06,0.03020048365995034,0.03599882489835786,0.03443710300703718
316227766016837.94,0.02711908583303247,0.032498306913243756,0.031049474759037257
326086885911893.56,0.024281735320321404,0.029250108771577202,0.027911937209285677
336253386295163.1,0.021669286842979488,0.02623635407643765,0.025006272361897442
346736850452530.94,0.019263806409685464,0.02344010126331998,0.022315271471554897
357547160450620.9,0.017048670919433864,0.020845495147673213,0.019822872617744514
368694506451957.3,0.01500853155045725,0.018437766978080604,0.017514150892730465
380189396320561.25,0.013129239398835956,0.01620318853193417,0.015375264838390187
392042665527015.56,0.011397763414020467,0.014129013427654706,0.013393391465644264
404265487362344.94,0.009802109871700087,0.012203416477098189,0.011556660254772309
416869383470336.4,0.008331246252393818,0.010415434889511448,0.009854089694678492
429866234708227.2,0.006975030444344153,0.008754912930309583,0.008275527780508605
443268292346008.7,0.0057241457125859615,0.0072124511316795465,0.006811597390796093
457088189614875.2,0.004570042136325772,0.00577936165920764,0.005453647906449937
471338953615741.0,0.0035048864995380876,0.004447633613489857,0.0041937163698184616
486034017599022.6,0.0025215270113675453,0.0032099194947269975,0.0030245081123386796
501187233627271.44,0.0016134974616642734,0.0020595850946142575,0.0019394343856080796
516812885632603.0,0.0007751988310738683,0.0009910585388234615,0.0009329165529846696
532925702881200.3,4.327677866322105e-06,4.011325614745952e-06,4.0977428018451046e-06
549540873857624.8,0.0007063895029141467,0.000880760933544293,0.0008338297746332116
566674060581991.9,4.169187472399124e-05,3.0460128233010883e-05,3.352478893792245e-05
584341413373516.4,0.009425638267492181,0.00932067926460587,0.00934896022366882
602559586074356.9,0.009093134775655121,0.00907386580952109,0.009079056343098878
621345751748075.2,0.0085722605529869,0.00856152721551786,0.00856441847244778
640717618867553.8,0.008069862641828964,0.008062677383579797,0.008064612895984351
660693448007596.5,0.0075935861341820225,0.007588378042992263,0.00758978096791179
681292069057962.2,0.0071439932835268396,0.007140042515134956,0.0071411067556977105
702532898973053.5,0.00672028336165092,0.006717195227405598,0.006718027099919573
724435960074989.1,0.006321279282743787,0.006318813128006576,0.006319477457028532
747021898927331.1,0.005945701879310209,0.005943700248432538,0.0059442394474744555
770312005797214.6,0.0055922668548015276,0.005590621406168497,0.005591064659062961
794328234724282.1,0.005259723788879339,0.005258357100682653,0.005258725262496683
819093224215298.5,0.004946872626577181,0.004945727716700904,0.0049460361367233
844630318583967.0,0.004652570323865827,0.004651604250318126,0.00465186449588549
870963589956079.6,0.004375732825029778,0.004374912593130571,0.004375133552092064
898117860960694.1,0.0041153347057145545,0.004114634550320183,0.004114823163114545
926118728128793.8,0.0038704076174942235,0.0038698071411936404,0.003869968902356954
954992586021436.9,0.003640038120573733,0.003639520984348662,0.003639660295207299
984766652110159.9,0.003423365221816086,0.0034229182033590783,0.0034230386256881937
1015468992433082.8,0.003219577795567133,0.0032191900987829525,0.003219294540804726
1047128548050898.5,0.0030279119888717812,0.0030275747289416673,0.003027665584032819
1079775162327709.4,0.0028476486698503704,0.002847354483477421,0.00284743373515711
1113439609062361.9,0.002678110953047161,0.0026778536995452017,0.002677923001992678
1148153621496884.0,0.0025186618206371864,0.0025184363499847306,0.0025184970905187693
1183949922229304.0,0.0023687018492651304,0.00236850382021892,0.002368557168292806
1220862254059069.2,0.0022276670466449466,0.002227492782749879,0.002227539728738301
1258925411794166.2,0.002095026798524391,0.0020948731731407592,0.0020949145593103327
