,nu_e,nu_mu,nu_tau
10154689924330.785,3.2206677862491956e-17,3.2206677862491956e-17,3.220667786249196e-17
10471285480508.984,3.0288604386990026e-17,3.028860438699002e-17,3.0288604386990026e-17
10797751623277.094,2.848476206172081e-17,2.848476206172081e-17,2.84847620617208e-17
11134396090623.62,2.6788347833595464e-17,2.6788347833595458e-17,2.6788347833595458e-17
11481536214968.84,2.5192963806359618e-17,2.519296380635961e-17,2.519296380635961e-17
11839499222293.041,2.3692593111419357e-17,2.3692593111419357e-17,2.3692593111419354e-17
12208622540590.693,2.228157721568138e-17,2.228157721568138e-17,2.228157721568138e-17
12589254117941.662,2.095459458083064e-17,2.095459458083064e-17,2.095459458083064e-17
12981752750498.49,1.9706640593555316e-17,1.9706640593555313e-17,1.9706640593555313e-17
13386488420699.94,1.8533008691030456e-17,1.8533008691030456e-17,1.8533008691030456e-17
13803842646028.867,1.7429272610479417e-17,1.7429272610479417e-17,1.7429272610479417e-17
14234208838643.387,1.6391269695860495e-17,1.6391269695860495e-17,1.6391269695860495e-17
14677992676220.676,1.541508519873009e-17,1.541508519873009e-17,1.541508519873009e-17
15135612484362.072,1.4497037514068827e-17,1.449703751406882e-17,1.4497037514068824e-17
15607499630921.113,1.3633664295389783e-17,1.3633664295389783e-17,1.3633664295389783e-17
16094098932625.361,1.2821709396764846e-17,1.2821709396764846e-17,1.2821709396764846e-17
16595869074375.63,1.2058110592518719e-17,1.2058110592518717e-17,1.2058110592518719e-17
17113283041617.775,1.1339988028281239e-17,1.1339988028281238e-17,1.1339988028281239e-17
17646828566194.98,1.0664633359835613e-17,1.0664633359835613e-17,1.0664633359835613e-17
18197008586099.824,1.0029499538806495e-17,1.0029499538806493e-17,1.0029499538806493e-17
18764341719560.855,9.432191206662378e-18,9.432191206662378e-18,9.432191206662376e-18
19349362753909.543,8.870455660804205e-18,8.870455660804203e-18,8.870455660804203e-18
19952623149688.83,8.342174358670173e-18,8.342174358670173e-18,8.342174358670173e-18
20574691560478.36,7.845354927814987e-18,7.845354927814986e-18,7.845354927814987e-18
21216154368926.824,7.378123651829483e-18,7.378123651829482e-18,7.378123651829482e-18
21877616239495.52,6.9387184037635095e-18,6.938718403763509e-18,6.9387184037635095e-18
22559700688435.77,6.5254820003982746e-18,6.525482000398274e-18,6.525482000398274e-18
23263050671536.285,6.1368559523075604e-18,6.1368559523075604e-18,6.1368559523075604e-18
23988329190194.95,5.771374586133872e-18,5.771374586133871e-18,5.771374586133871e-18
24736219916386.176,5.427659516913822e-18,5.4276595169138216e-18,5.4276595169138216e-18
25507427837113.566,5.1044144496052106e-18,5.10441444960521e-18,5.10441444960521e-18
26302679918953.816,4.8004202902088066e-18,4.8004202902088066e-18,4.8004202902088066e-18
27122725793320.297,4.5145305480496355e-18,4.514530548049635e-18,4.514530548049635e-18
27968338463090.805,4.245667011874555e-18,4.245667011874555e-18,4.245667011874556e-18
28840315031266.117,3.992815683461859e-18,3.992815683461859e-18,3.9928156834618595e-18
29739477452346.016,3.755022953403958e-18,3.755022953403957e-18,3.755022953403957e-18
30666673307131.805,3.531392004642976e-18,3.531392004642975e-18,3.531392004642975e-18
31622776601683.793,3.3210794301941445e-18,3.321079430194144e-18,3.3210794301941445e-18
32608688591189.355,3.123292052300342e-18,3.123292052300341e-18,3.1232920523003416e-18
33625338629516.316,2.9372839310236887e-18,2.9372839310236883e-18,2.9372839310236883e-18
34673685045253.098,2.7623535509897865e-18,2.762353550989787e-18,2.762353550989787e-18
35754716045062.086,2.5978411756763316e-18,2.5978411756763316e-18,2.5978411756763316e-18
36869450645195.734,2.4431263592675252e-18,2.443126359267525e-18,2.443126359267525e-18
38018939632056.125,2.297625606690117e-18,2.297625606690117e-18,2.297625606690117e-18
39204266552701.555,2.160790173006365e-18,2.160790173006365e-18,2.160790173006365e-18
40426548736234.49,2.032103993864706e-18,2.0321039938647057e-18,2.0321039938647057e-18
41686938347033.47,1.9110817392026164e-18,1.9110817392026164e-18,1.911081739202616e-18
42986623470822.72,1.7972669828613513e-18,1.797266982861351e-18,1.797266982861351e-18
44326829234600.87,1.690230481209713e-18,1.6902304812097128e-18,1.6902304812097128e-18
45708818961487.516,1.5895685542846346e-18,1.5895685542846346e-18,1.5895685542846346e-18
47133895361574.09,1.4949015633430789e-18,1.494901563343079e-18,1.494901563343079e-18
48603401759902.26,1.4058724790836748e-18,1.405872479083675e-18,1.405872479083675e-18
50118723362727.15,1.3221455351380035e-18,1.322145535138003e-18,1.322145535138003e-18
51681288563260.3,1.2434049617535076e-18,1.2434049617535074e-18,1.2434049617535074e-18
53292570288120.03,1.1693537948921042e-18,1.1693537948921042e-18,1.1693537948921042e-18
54954087385762.484,1.0997127562529525e-18,1.0997127562529525e-18,1.0997127562529525e-18
56667406058199.195,1.0342191999958691e-18,1.0342191999958691e-18,1.0342191999958691e-18
58434141337351.87,9.726261221926693e-19,9.726261221926693e-19,9.726261221926695e-19
60255958607435.69,9.14701229270668e-19,9.147012292706679e-19,9.147012292706679e-19
