,nu_e,nu_mu,nu_tau
10038450149978.857,1.6525077203042974e-16,1.6525077200099056e-16,1.652507720089195e-16
10115794542599.004,1.627334495317205e-16,1.6273344950297858e-16,1.6273344951071975e-16
10193734859388.717,1.6025447428235423e-16,1.6025447425429166e-16,1.6025447426184986e-16
10272275691833.045,1.578132621253505e-16,1.5781326209795009e-16,1.5781326210532993e-16
10351421666793.451,1.5540923780240242e-16,1.5540923777564697e-16,1.554092377828531e-16
10431177446780.506,1.5304183481827034e-16,1.5304183479214371e-16,1.5304183479918048e-16
10511547730228.686,1.507104953073737e-16,1.507104952818601e-16,1.5071049528873177e-16
10592537251772.896,1.4841466990229085e-16,1.484146698773747e-16,1.4841466988408545e-16
10674150782527.58,1.4615381760426786e-16,1.4615381757993406e-16,1.4615381758648797e-16
10756393130367.676,1.4392740565582144e-16,1.439274056320555e-16,1.4392740563845647e-16
10839269140212.04,1.4173490941511263e-16,1.417349093919004e-16,1.4173490939815222e-16
10922783694308.596,1.3957581223237268e-16,1.3957581220970013e-16,1.395758122158066e-16
11006941712522.08,1.3744960532812646e-16,1.3744960530598043e-16,1.374496053119451e-16
11091748152624.01,1.3535578767333107e-16,1.353557876516983e-16,1.3535578765752471e-16
11177208010584.467,1.332938658712729e-16,1.3329386585014084e-16,1.3329386585583237e-16
11263326320866.562,1.3126335404133126e-16,1.3126335402068744e-16,1.312633540262475e-16
11350108156723.143,1.292637737044816e-16,1.2926377368431403e-16,1.2926377368974583e-16
11437558630495.389,1.2729465367052112e-16,1.2729465365081814e-16,1.272946536561248e-16
11525682893914.164,1.253555299270614e-16,1.2535552990781154e-16,1.2535552991299618e-16
11614486138403.414,1.2344594553018023e-16,1.2344594551137248e-16,1.2344594551643803e-16
11703973595386.186,1.215654504967322e-16,1.215654504783558e-16,1.2156545048330518e-16
11794150536592.521,1.1971360169831588e-16,1.1971360168036028e-16,1.1971360168519631e-16
11885022274370.164,1.1788996275687642e-16,1.1788996273933149e-16,1.178899627440569e-16
11976594161997.66,1.160941039418549e-16,1.160941039247106e-16,1.1609410392932813e-16
12068871593999.416,1.1432560206890275e-16,1.1432560205214954e-16,1.1432560205666175e-16
12161860006463.703,1.125840404002249e-16,1.1258404038385322e-16,1.1258404038826263e-16
12255564877362.79,1.1086900854630121e-16,1.1086900853030193e-16,1.1086900853461104e-16
12349991726875.852,1.0918010236924679e-16,1.091801023536109e-16,1.0918010235782216e-16
12445146117713.87,1.0751692388752596e-16,1.0751692387224483e-16,1.0751692387636054e-16
12541033655447.477,1.0587908118221826e-16,1.0587908116728351e-16,1.0587908117130592e-16
12637659988837.342,1.042661883046173e-16,1.0426618829002069e-16,1.0426618829395203e-16
12735030810166.629,1.0267786518532497e-16,1.0267786517105829e-16,1.0267786517490077e-16
12833151855576.486,1.0111373754465775e-16,1.0111373753071311e-16,1.0111373753446887e-16
12932028905404.12,9.957343680448152e-17,9.95734367908514e-17,9.957343679452244e-17
13031667784523.0,9.805660000132256e-17,9.805659998799956e-17,9.805659999158786e-17
13132074362686.223,9.656286970088263e-17,9.656286968785953e-17,9.656286969136708e-17
13233254554872.18,9.509189391374211e-17,9.509189390101166e-17,9.509189390444039e-17
13335214321633.24,9.364332601250836e-17,9.364332600006369e-17,9.364332600341544e-17
13437959669446.555,9.221682465004118e-17,9.221682463787567e-17,9.221682464115223e-17
13541496651068.066,9.081205367909196e-17,9.081205366719893e-17,9.08120536704021e-17
13645831365889.238,8.942868207304528e-17,8.942868206141855e-17,8.942868206455001e-17
13750969960296.053,8.806638384792176e-17,8.80663838365551e-17,8.806638383961651e-17
13856918628031.303,8.672483798559275e-17,8.672483797448e-17,8.672483797747303e-17
13963683610559.363,8.54037283580848e-17,8.540372834721995e-17,8.540372835014621e-17
14071271197434.104,8.410274365313083e-17,8.410274364250821e-17,8.410274364536924e-17
14179687726669.066,8.282157730077406e-17,8.2821577290388e-17,8.28215772931853e-17
14288939585111.008,8.155992740117247e-17,8.155992739101754e-17,8.155992739375259e-17
14399033208816.326,8.031749665339258e-17,8.031749664346341e-17,8.031749664613767e-17
14509975083429.865,7.909399228542404e-17,7.909399227571537e-17,7.909399227833022e-17
14621771744567.152,7.788912598512659e-17,7.788912597563343e-17,7.788912597819024e-17
14734429778199.6,7.670261383234429e-17,7.670261382306148e-17,7.670261382556164e-17
14847955821042.125,7.553417623195476e-17,7.553417622287771e-17,7.553417622532246e-17
14962356560944.36,7.438353784801338e-17,7.438353783913724e-17,7.438353784152788e-17
15077638737284.51,7.325042753886292e-17,7.325042753018294e-17,7.325042753252073e-17
15193809141366.63,7.213457829325087e-17,7.213457828476268e-17,7.213457828704882e-17
15310874616820.318,7.103572716738481e-17,7.103572715908402e-17,7.103572716131969e-17
15428842060004.07,6.99536152229895e-17,6.995361521487185e-17,6.995361521705821e-17
15547718420411.727,6.888798746629953e-17,6.888798745836073e-17,6.88879874604989e-17
15667510701081.502,6.783859278794355e-17,6.78385927801796e-17,6.783859278227067e-17
15788225959008.777,6.680518390379394e-17,6.680518389620091e-17,6.680518389824596e-17
15909871305561.709,6.578751729668422e-17,6.578751728925806e-17,6.578751729125817e-17
16032453906900.418,6.478535315903103e-17,6.478535315176811e-17,6.478535315372424e-17
16155980984398.762,6.379845533633014e-17,6.379845532922662e-17,6.379845533113983e-17
